@id,@form,@lemma,@postag,@relation
1,γενόμενος,γίγνομαι,v-sapmmn-,ADV
2,δὲ,δέ,d--------,AuxY
3,κατὰ,κατά,r--------,AuxP
4,τὴν,ὁ,l-s---fa-,ATR
5,σκοτεινὴν,σκοτεινός,a-s---fa-,ATR
6,πάροδον,πάροδος,n-s---fa-,ADV
7,",",punc1,u--------,AuxX
8,Στράτωνος,Στράτων,n-s---mg-,ATR
9,ἐκαλεῖτο,καλέω,v3siie---,PRED
10,πύργος,πύργος,n-s---mn-,PNOM
11,",",punc1,u--------,AuxX
12,ὑπὸ,ὑπό,r--------,AuxP
13,τῶν,ὁ,l-p---mg-,ATR
14,σωματοφυλάκων,σωματοφύλαξ,n-p---mg-,OBJ
15,ἀναιρεῖται,ἀναιρέω,v3spie---,PRED
16,",",punc1,u--------,AuxX
17,βέβαιον,βέβαιος,a-s---na-,ADV
18,ἀποδείξας,ἀποδείκνυμι,v-sapamn-,ADV
19,ὅτι,ὅτι2,c--------,AuxC
20,πᾶσαν,πᾶς,a-s---fa-,ATR
21,εὔνοιαν,εὔνοια,n-s---fa-,OBJ_CO
22,καὶ,καί,c--------,COORD
23,φύσιν,φύσις,n-s---fa-,OBJ_CO
24,κόπτει,κόπτω,v3spia---,OBJ_CO
25,διαβολὴ,διαβολή,n-s---fn-,SBJ
26,καὶ,καί,c--------,COORD
27,οὐδὲν,οὐδείς,p-s---nn-,SBJ
28,οὕτως,οὕτως,d--------,ADV
29,τῶν,ὁ,l-p---ng-,ATR
30,ἀγαθῶν,ἀγαθός,a-p---ng-,ATR
31,παθῶν,πάθος,n-p---ng-,ATR
32,ἰσχυρόν,ἰσχυρός,a-s---nn-,PNOM
33,",",punc1,u--------,AuxX
34,ὃ,ὅς,p-s---nn-,SBJ
35,τῷ,ὁ,l-s---md-,ATR
36,φθόνῳ,φθόνος,n-s---md-,OBJ
37,μέχρι,μέχρι,r--------,AuxP
38,παντὸς,πᾶς,a-s---ng-,ATR
39,ἀντέχει,ἀντέχω,v3spia---,ATR
40,.,punc1,u--------,AuxK
41,ἐστιν,εἰμί,v3spia---,OBJ_CO
