@id,@form,@lemma,@postag,@relation
1,ἐγὼ,ἐγώ,p1s---mn-,SBJ
2,μέν,μέν,d--------,AuxY
3,",",punc1,u--------,AuxX
4,ὦ,ὦ,i--------,AuxZ
5,ἄνδρες,ἀνήρ,n-p---mv-,ExD
6,δικασταί,δικαστής,n-p---mv-,ATR
7,",",punc1,u--------,AuxX
8,καὶ,καί,d-------_,AuxY
9,ὑμᾶς,σύ,p2p---ma-,OBJ
10,αἰτοῦμαι,αἰτέω,v1spie---,PRED_CO
11,τὰ,ὁ,l-p---na-,ATR
12,δίκαια,δίκαιος,a-p---na-,OBJ
13,ψηφίσασθαι,ψηφίζω,v--anm---,OBJ
14,",",punc1,u--------,AuxX
15,καὶ,καί,c--------,COORD
16,τῶν,ὁ,l-p---mg-,ATR
17,στρατηγῶν,στρατηγός,n-p---mg-,OBJ
18,δέομαι,δέομαι,v1spie---,PRED_CO
19,",",punc1,u--------,AuxX
20,ἐπεὶ,ἐπεί,c--------,AuxC
21,καὶ,καί,d-------_,AuxZ
22,ἐν,ἐν,r--------,AuxP
23,τῇ,ὁ,l-s---fd-,ATR
24,ἄλλῃ,ἄλλος,p-s---fd-,ATR
25,ἀρχῇ,ἀρχή,n-s---fd-,ADV
26,πολλοῦ,πολύς,a-s---ng-,ADV
27,ἄξιοι,ἄξιος,a-p---mn-,PNOM
28,τῇ,ὁ,l-s---fd-,ATR
29,πόλει,πόλις,n-s---fd-,ADV
30,γεγόνασι,γίγνομαι,v3pria---,ADV
31,",",punc1,u--------,AuxX
32,καὶ,καί,d-------_,AuxY
33,τῶν,ὁ,l-p---fg-,ATR
34,τῆς,ὁ,l-s---fg-,ATR
35,ἀστρατείας,ἀστρατεία,n-s---fg-,ATR
36,γραφῶν,γραφή,n-p---fg-,OBJ
37,κοινοὺς,κοινός,a-p---ma-,PNOM
38,εἶναι,εἰμί,v--pna---,OBJ_CO
39,τῷ,ὁ,l-s---md-,ATR
40,τε,τε,d--------,AuxY
41,διώκοντι,διώκω,v-sppamd-,ADV_CO
42,καὶ,καί,c--------,COORD
43,τῷ,ὁ,l-s---md-,ATR
44,φεύγοντι,φεύγω,v-sppamd-,ADV_CO
45,",",punc1,u--------,AuxX
46,καὶ,καί,c--------,COORD
47,μὴ,μή,d-------_,AuxZ
48,βοηθοῦντας,βοηθέω,v-pppama-,ADV
49,ᾧ,ὅς,p-s---md-,OBJ
50,ἂν,ἄν1,d--------,AuxZ
51,βούλωνται,βούλομαι,v3ppse---,OBJ
52,πᾶσαν,πᾶς,a-s---fa-,ATR
53,προθυμίαν,προθυμία,n-s---fa-,OBJ
54,ἔχειν,ἔχω,v--pna---,OBJ_CO
55,παρὰ,παρά,r--------,AuxP
56,τὸ,ὁ,l-s---na-,ATR
57,δίκαιον,δίκαιος,a-s---na-,ADV
58,ὑμᾶς,σύ,p2p---ma-,SBJ
59,ψηφίσασθαι,ψηφίζω,v--anm---,ADV
60,",",punc1,u--------,AuxX
61,ἐνθυμουμένους,ἐνθυμέομαι,v-pppema-,ADV
62,ὅτι,ὅτι2,c--------,AuxC
63,σφόδρʼ,σφοδρός,a-p---nap,ADV
64,ἂν,ἄν1,d--------,AuxZ
65,ἠγανακτεῖτε,ἀγανακτέω,v2piia---,OBJ
66,",",punc1,u--------,AuxX
67,εἰ,εἰ,c--------,AuxC
68,ἐν,ἐν,r--------,AuxP
69,τῇ,ὁ,l-s---fd-,ATR
70,ὑμετέρᾳ,ὑμέτερος,a-s---fd-,ATR
71,δοκιμασίᾳ,δοκιμασία,n-s---fd-,OBJ
72,οἱ,ὁ,l-p---mn-,ATR
73,θεσμοθέται,θεσμοθέτης,n-p---mn-,SBJ
74,ἀναβάντες,ἀναβαίνω,v-papamn-,ATR
75,ὑμῶν,σύ,p2p---mg-,OBJ
76,ἐδέοντο,δέομαι,v3piie---,ADV
77,καταψηφίσασθαι,καταψηφίζομαι,v--ane---,OBJ
78,",",punc1,u--------,AuxX
79,ἡγούμενοι,ἡγέομαι,v-pppmmn-,ADV
80,δεινὸν,δεινός,a-s---na-,PNOM
81,εἶναι,εἰμί,v--pna---,OBJ
82,εἰ,εἰ,c--------,AuxC
83,οἱ,ὁ,l-p---mn-,ATR
84,τιθέντες,τίθημι,v-pppamn-,SBJ_CO
85,τὸν,ὁ,l-s---ma-,ATR
86,ἀγῶνα,ἀγών,n-s---ma-,OBJ
87,καὶ,καί,c--------,COORD
88,τὴν,ὁ,l-s---fa-,ATR
89,ψῆφον,ψῆφος,n-s---fa-,OBJ
90,διδόντες,δίδωμι,v-pppamn-,SBJ_CO
91,παρακελεύσονται,παρακελεύομαι,v3pfie---,ADV
92,τῶν,ὁ,l-p---mg-,OBJ
93,μὲν,μέν,d--------,AuxY
94,μὴ,μή,d-------_,AuxZ
95,καταψηφίζεσθαι,καταψηφίζομαι,v--pne---,OBJ_CO
96,τῶν,ὁ,l-p---mg-,OBJ
97,δὲ,δέ,c--------,COORD
98,καταψηφίζεσθαι,καταψηφίζομαι,v--pne---,OBJ_CO
99,.,punc1,u--------,AuxK
