@id,@form,@lemma,@postag,@relation
1,πάντες,πᾶς,a-p---mn-,SBJ
2,οὖν,οὖν,d--------,AuxY
3,ἀγνοοῦντες,ἀγνοέω,v-pppamn-,ADV
4,τὸ,ὁ,l-s---na-,ATR
5,ὄνομα,ὄνομα,n-s---na-,OBJ
6,αὐτοῦ,αὐτός,p-s---mg-,ATR
7,",",punc1,u--------,AuxX
8,ἀκριβέστατα,ἀκριβής,a-p---nas,OBJ
9,ἂν,ἄν1,d--------,AuxY
10,ἔφασάν,φημί,v3paia---,PRED
11,με,ἐγώ,p1s---ma-,SBJ
12,πυθέσθαι,πυνθάνομαι,v--anm---,OBJ
13,ἐλθόντα,ἔρχομαι,v-sapama-,ADV
14,εἰς,εἰς,r--------,AuxP
15,τὸν,ὁ,l-s---ma-,ATR
16,χλωρὸν,χλωρός,a-s---ma-,ATR
17,τυρὸν,τυρός,n-s---ma-,OBJ
18,τῇ,ὁ,l-s---fd-,ATR
19,ἕνῃ,ἕνος,a-s---fd-,ADV_CO
20,καὶ,καί,c--------,COORD
21,νέᾳ,νέος,a-s---fd-,ADV_CO
22,·,punc1,u--------,AuxK
