@id,@form,@lemma,@postag,@relation
1,νυνὶ,νυνί,d--------,ADV
2,δὲ,δέ,d--------,AuxY
3,συμβέβηκέ,συμβαίνω,v3sria---,PRED
4,μοι,ἐγώ,p1s---md-,OBJ
5,ἅπερ,ὅς,p-p---na-,OBJ
6,ὁρᾶτε,ὁράω,v2ppia---,ATR
7,καὶ,καί,d--------,AuxZ
8,αὐτοί,αὐτός,a-p---mn_,AtvV
9,",",punc1,u--------,AuxX
10,ταυτὶ,οὗτος,p-p---nn-,SBJ
11,ἅ,ὅς,p-p---na-,SBJ
12,γε,γε,d--------,AuxZ
13,δὴ,δή,d--------,AuxY
14,οἰηθείη,οἴομαι,v3saop---,ATR_CO
15,ἄν,ἄν1,d--------,AuxY
16,τις,τις,p-s---mn-,SBJ
17,καὶ,καί,c--------,COORD
18,νομίζεται,νομίζω,v3spie---,ATR_CO
19,ἔσχατα,ἔσχατος,a-p---na-,PNOM
20,κακῶν,κακός,a-p---ng-,ATR
21,εἶναι,εἰμί,v--pna---,OBJ
22,·,punc1,u--------,AuxK
