@id,@form,@lemma,@postag,@relation
1,οὐ,οὐ,d--------,AuxZ
2,γὰρ,γάρ,d--------,AuxY
3,ἐπὶ,ἐπί,r--------,AuxP
4,τοὺς,ὁ,l-p---ma-,ATR
5,πολίτας,πολίτης,n-p---ma-,ADV
6,",",punc1,u--------,AuxX
7,ὡς,ὡς,c--------,AuxC
8,ἐκεῖνον,ἐκεῖνος,p-s---ma-,SBJ
9,",",punc1,u--------,AuxX
10,ἀλλʼ,ἀλλά,c--------,COORD
11,ὑπὲρ,ὑπέρ,r--------,AuxP
12,τῆς,ὁ,l-s---fg-,ATR
13,πατρίδος,πατρίς,n-s---fg-,ADV
14,ἐπὶ,ἐπί,r--------,AuxP
15,τοὺς,ὁ,l-p---ma-,ATR
16,πολεμίους,πολέμιος,n-p---ma-,ADV
17,ὑπουργήσειν,ὑπουργέω,v--fna---,OBJ_CO
18,καὶ,καί,c--------,COORD
19,δεήσεσθαι,δέω2,v--fnm---,OBJ_CO
20,τῆς,ὁ,l-s---fg-,ATR
21,βασιλέως,βασιλεύς,n-s---mg-,ATR
22,δυνάμεως,δύναμις,n-s---fg-,OBJ
23,·,punc1,u--------,AuxK
24,[0],,,ADV
25,ὑπουργήσειν,ὑπουργέω,v--fna---,OBJ_CO
26,[1],,,PRED
