@id,@form,@lemma,@postag,@relation
1,οὐ,οὐ,d--------,AuxZ
2,-δὲ,δέ,d--------,AuxY
3,γὰρ,γάρ,d--------,AuxY
4,λιμὸν,λιμός,n-s---ma-,SBJ_CO
5,οὐ,οὐ,d--------,AuxZ
6,-δὲ,δέ,d--------,AuxY
7,λοιμὸν,λοιμός,n-s---ma-,SBJ_CO
8,οὐ,οὐ,d--------,AuxZ
9,-δʼ,δέ,d-------_,AuxY
10,ἀφορίαν,ἀφορία,n-s---fa-,SBJ_CO
11,γῆς,γῆ,n-s---fg-,ATR
12,οὐ,οὐ,d--------,AuxZ
13,-δʼ,δέ,c--------,COORD
14,ἀωρίαν,ἀωρία,n-s---fa-,SBJ_CO
15,τινὸς,τις,a-s---ng_,ATR
16,θέρους,θέρος,n-s---ng-,ATR_CO
17,ἢ,ἤ1,c--------,COORD
18,χειμῶνος,χειμών,n-s---mg-,ATR_CO
19,ἐν,ἐν,r--------,AuxP
20,τῷ,ὁ,l-s---md-,ATR
21,τότε,τότε,d--------,ATR
22,χρόνῳ,χρόνος,n-s---md-,ADV
23,παραλυπῆσαι,παραλυπέω,v--ana---,OBJ
24,τὴν,ὁ,l-s---fa-,ATR
25,Ῥώμην,Ῥώμη,n-s---fa-,OBJ
26,λέγουσιν,λέγω3,v3ppia---,PRED
27,",",punc1,u--------,AuxX
28,ὡς,ὡς,d--------,AuxZ
29,οὐκ,οὐ,d--------,AuxZ
30,ἀνθρωπίνης,ἀνθρώπινος,a-s---fg-,ATR
31,εὐβουλίας,εὐβουλία,n-s---fg-,SBJ_CO
32,ἀλλὰ,ἀλλά,c--------,COORD
33,θείας,θεῖος1,a-s---fg-,ATR
34,Τύχης,Τύχη,n-s---fg-,SBJ_CO
35,ἐπιτροπευούσης,ἐπιτροπεύω,v-sppafg-,ADV
36,τῶν,ὁ,l-p---mg-,ATR
37,καιρῶν,καιρός,n-p---mg-,ADV
38,ἐκείνων,ἐκεῖνος,a-p---mg_,ATR
39,.,punc1,u--------,AuxK
