@id,@form,@lemma,@postag,@relation
1,οἶμαι,οἴομαι,v1spie---,PRED
2,δ᾽,δέ,d--------,AuxY
3,ἂν,ἄν1,d--------,AuxY
4,αὐτὸν,αὐτός,p-s---ma-,SBJ
5,εἰπεῖν,εἶπον,v--ana---,OBJ
6,πρὸς,πρός,r--------,AuxP
7,τὴν,ὁ,l-s---fa-,ATR
8,Τύχην,Τύχη,n-s---fa-,OBJ
9,τοῖς,ὁ,l-p---nd-,ATR
10,κατορθώμασιν,κατόρθωμα,n-p---nd-,OBJ
11,αὑτὴν,ἑαυτοῦ,p-s---fa-,OBJ
12,ἐπιγράφουσαν,ἐπιγράφω,v-sppafa-,ATR
13,",",punc1,u--------,AuxX
14,μή,μή,d--------,AuxZ
15,μου,ἐγώ,p1s---mg-,ATR
16,διάβαλλε,διαβάλλω,v2spma---,OBJ_CO
17,τὴν,ὁ,l-s---fa-,ATR
18,ἀρετὴν,ἀρετή,n-s---fa-,OBJ
19,μη,μη,d-------_,AuxZ
20,-δ᾽,δέ,c--------,COORD
21,ἀφαιροῦ,ἀφαιρέω,v2spme---,OBJ_CO
22,περισπῶσα,περισπάω,v-sppafn-,ADV
23,τὴν,ὁ,l-s---fa-,ATR
24,δόξαν,δόξα,n-s---fa-,OBJ
25,.,punc1,u--------,AuxK
