@id,@form,@lemma,@postag,@relation
1,ἐπαρθεὶς,ἐπαίρω,v-sappmn-,ADV
2,δὲ,δέ,d--------,AuxY
3,τούτοις,οὗτος,p-p---nd-,ADV
4,προσήγετο,προσάγω,v3siie---,PRED_CO
5,τοὺς,ὁ,l-p---ma-,ATR
6,ἀρίστους,ἄριστος,a-p---ma-,OBJ
7,καὶ,καί,c--------,COORD
8,συνεφάπτεσθαι,συνεφάπτομαι,v--pne---,OBJ
9,παρεκάλει,παρακαλέω,v3siia---,PRED_CO
10,",",punc1,u--------,AuxX
11,κρύφα,κρύφα,d--------,ADV
12,διαλεγόμενος,διαλέγω,v-sppemn-,ADV
13,τοῖς,ὁ,l-p---md-,ATR
14,φίλοις,φίλος,a-p---md-,OBJ
15,πρῶτον,πρότερος,a-s---na-,ADV
16,",",punc1,u--------,AuxX
17,εἶτα,εἶτα,d--------,ADV
18,οὕτως,οὕτως,d--------,ADV
19,κατὰ,κατά,r--------,AuxP
20,μικρὸν,μικρός,a-s---na-,ADV
21,ἁπτόμενος,ἅπτω,v-sppemn-,ADV_CO
22,πλειόνων,πλείων,a-p---mgc,OBJ
23,καὶ,καί,c--------,COORD
24,συνιστὰς,συνίστημι,v-sppamn-,ADV_CO
25,ἐπὶ,ἐπί,r--------,AuxP
26,τὴν,ὁ,l-s---fa-,ATR
27,πρᾶξιν,πρᾶξις,n-s---fa-,ADV
28,.,punc1,u--------,AuxK
