@id,@form,@lemma,@postag,@relation
1,τῷ,ὁ,l-s---nd-,ATR
2,δʼ,δέ,d--------,AuxY
3,ἑξῆς,ἑξῆς,d--------,ATR
4,ἔτει,ἔτος,n-s---nd-,ADV
5,",",punc1,u--------,AuxX
6,διαπρεσβευσαμένων,διαπρεσβεύομαι,v-papemg-,ADV_CO
7,τῶν,ὁ,l-p---mg-,ATR
8,Κελτῶν,Κελτοί,n-p---mg-,SBJ
9,ὑπὲρ,ὑπέρ,r--------,AuxP
10,εἰρήνης,εἰρήνη,n-s---fg-,ADV
11,καὶ,καί,c--------,COORD
12,πᾶν,πᾶς,a-s---na-,OBJ
13,ποιήσειν,ποιέω,v--fna---,OBJ
14,ὑπισχνουμένων,ὑπισχνέομαι,v-pppemg-,ADV_CO
15,",",punc1,u--------,AuxX
16,ἔσπευσαν,σπεύδω,v3paia---,PRED
17,οἱ,ὁ,l-p---mn-,ATR
18,κατασταθέντες,καθίστημι,v-pappmn-,ATR
19,ὕπατοι,ὕπατος,a-p---mn-,PNOM
20,Μάρκος,Μάρκος,n-s---mn-,ATR
21,Κλαύδιος,Κλαύδιος,n-s---mn-,SBJ_CO
22,καὶ,καί,c--------,COORD
23,Γνάιος,Γναῖος,n-s---mn-,ATR
24,Κορνήλιος,Κορνήλιος,n-s---mn-,SBJ_CO
25,τοῦ,ὁ,l-s---ng-,ATR
26,μὴ,μή,d--------,AuxZ
27,συγχωρηθῆναι,συγχωρέω,v--anp---,OBJ
28,τὴν,ὁ,l-s---fa-,ATR
29,εἰρήνην,εἰρήνη,n-s---fa-,SBJ
30,αὐτοῖς,αὐτός,p-p---md-,OBJ
31,.,punc1,u--------,AuxK
