@id,@form,@lemma,@postag,@relation
1,αὐτὸς,αὐτός,p-s---mn-,SBJ
2,δ᾽,δέ,d--------,AuxY
3,ἐν,ἐν,r--------,AuxP
4,ταῖς,ὁ,l-p---fd-,ATR
5,Συρακούσαις,Συράκουσα,n-p---fd-,OBJ
6,ὑπέμενε,ὑπομένω,v3siia---,PRED
7,",",punc1,u--------,AuxX
8,τούς,ὁ,l-p---ma-,ATR
9,τε,τε,d--------,AuxY
10,κατὰ,κατά,r--------,AuxP
11,πλοῦν,πλόος,n-s---ma-,ADV
12,ἀφυστεροῦντας,ἀφυστερέω,v-pppama-,OBJ
13,ἐκ,ἐκ,r--------,AuxP
14,τῆς,ὁ,l-s---fg-,ATR
15,Μεσσήνης,Μεσσήνη,n-s---fg-,ADV
16,ἀναδεχόμενος,ἀναδέχομαι,v-sppemn-,ADV_CO
17,καὶ,καί,c--------,COORD
18,παρὰ,παρά,r--------,AuxP
19,τῶν,ὁ,l-p---mg-,ATR
20,ἐκ,ἐκ,r--------,AuxP
21,τῆς,ὁ,l-s---fg-,ATR
22,μεσογαίου,μεσόγαιος,a-s---fg-,ATR
23,συμμάχων,σύμμαχος,n-p---mg-,ADV
24,σῖτον,σῖτος,n-s---ma-,OBJ
25,προσαναλαμβάνων,προσαναλαμβάνω,v-sppamn-,ADV_CO
26,.,punc1,u--------,AuxK
