@id,@form,@lemma,@postag,@relation
1,οἱ,ὁ,l-p---mn-,ATR
2,δὲ,δέ,d--------,AuxY
3,πολλοὶ,πολύς,a-p---mn-,SBJ
4,ἐλαύνειν,ἐλαύνω,v--pna---,ADV
5,εὐθὺς,εὐθύς2,d--------,ADV
6,[,punc1,u--------,AuxX
7,ὡς,ὡς,d--------,AuxZ
8,],punc1,u--------,AuxX
9,οἷοί,οἷος,a-p---mn-,PNOM
10,τε,τε,d--------,AuxZ
11,εἰσβάντες,εἰσβαίνω,v-papamn-,ADV
12,εἰς,εἰς,r--------,AuxP
13,ναῦς,ναῦς,n-p---fa-,OBJ
14,",",punc1,u--------,AuxX
15,ἅτε,ἅτε,d--------,AuxZ
16,ἐν,ἐν,r--------,AuxP
17,παντὶ,πᾶς,a-s---md-,ATR
18,τῷ,ὁ,l-s---md-,ATR
19,βίῳ,βίος,n-s---md-,ADV
20,προμεμελετηκότες,προμελετάω,v-prpamn-,ADV
21,.,punc1,u--------,AuxK
22,εἴσιν,εἰμί,v3ppia---,PRED
