@id,@form,@lemma,@postag,@relation
1,καὶ,καί,d--------,AuxY
2,γὰρ,γάρ,d--------,AuxY
3,τότε,τότε,d--------,ADV
4,ἀπιόντων,ἄπειμι2,v-pppamg-,OBJ
5,οἴκαδε,οἴκαδε,d--------,OBJ
6,μόνος,μόνος,a-s---mn-,ATV
7,τῶν,ὁ,l-p---mg-,ATR
8,ἄλλων,ἄλλος,p-p---mg-,SBJ
9,ἐκεῖνος,ἐκεῖνος,p-s---mn-,SBJ
10,οὐδὲν,οὐδείς,p-s---na-,OBJ
11,ἄλλο,ἄλλος,a-s---na_,ATR
12,ἢ,ἤ1,c--------,AuxC
13,τοὺς,ὁ,l-p---ma-,ATR
14,πεπτωκότας,πίπτω,v-prpama-,OBJ
15,περιελαύνων,περιελαύνω,v-sppamn-,OBJ
16,ἐθεᾶτο,θεάω,v3siie---,ADV
17,",",punc1,u--------,AuxX
18,καὶ,καί,c--------,COORD
19,μόλις,μόλις,d--------,ADV
20,αὐτὸν,αὐτός,p-s---ma-,OBJ
21,ἀφελκύσαντες,ἀφέλκω,v-papamn-,OBJ
22,οἱ,ὁ,l-p---mn-,ATR
23,ἐπὶ,ἐπί,r--------,AuxP
24,τοῦτο,οὗτος,p-s---na-,OBJ
25,ταχθέντες,τάσσω,v-pappmn-,SBJ
26,προσήγαγον,προσάγω,v3paia---,PRED_CO
27,τῷ,ὁ,l-s---md-,ATR
28,Ἀστυάγει,Ἀστυάγης,n-s---md-,OBJ
29,",",punc1,u--------,AuxX
30,μάλα,μάλα,d--------,OBJ
31,ἐπίπροσθεν,ἐπίπροσθεν,d--------,OBJ
32,ποιούμενον,ποιέω,v-sppema-,ADV
33,τοὺς,ὁ,l-p---ma-,ATR
34,προσάγοντας,προσάγω,v-pppama-,OBJ
35,",",punc1,u--------,AuxX
36,ὅτι,ὅτι2,c--------,AuxC
37,ἑώρα,ὁράω,v3siia---,OBJ
38,τὸ,ὁ,l-s---na-,ATR
39,πρόσωπον,πρόσωπον,n-s---na-,SBJ
40,τοῦ,ὁ,l-s---mg-,ATR
41,πάππου,πάππος,n-s---mg-,ATR
42,ἠγριωμένον,ἀγριόω,v-srpena-,OBJ
43,ἐπὶ,ἐπί,r--------,AuxP
44,τῇ,ὁ,l-s---fd-,ATR
45,θέᾳ,θέα,n-s---fd-,OBJ
46,τῇ,ὁ,l-s---fd-,ATR
47,αὑτοῦ,ἑαυτοῦ,p-s---mg-,ATR
48,.,punc1,u--------,AuxK
49,[0],,,PRED_CO
