@id,@form,@lemma,@postag,@relation
1,ὅτι,ὅτι2,c--------,AuxC
2,δὲ,δέ,d--------,AuxY
3,πολλῶν,πολύς,a-p---ng-,OBJ
4,μὲν,μέν,d--------,AuxY
5,σοὶ,σύ,p-s---md-,OBJ
6,δεήσει,δέω2,v3sfia---,OBJ_CO
7,",",punc1,u--------,AuxX
8,πολλὰ,πολύς,a-p---na-,OBJ_CO
9,δὲ,δέ,c--------,COORD
10,καὶ,καί,c--------,COORD
11,ἄλλα,ἄλλος,p-p---na-,OBJ_CO
12,νῦν,νῦν,d--------,ADV
13,ἀνάγκη,ἀνάγκη,n-s---fn-,PNOM
14,δαπανᾶν,δαπανάω,v--pna---,SBJ
15,ἐκεῖνον,ἐκεῖνος,p-s---ma-,SBJ
16,",",punc1,u--------,AuxX
17,οὐ,οὐ,d--------,AuxZ
18,γιγνώσκεις,γιγνώσκω,v2spia---,PRED
19,;,punc1,u--------,AuxK
20,[0],,,OBJ_CO
