@id,@form,@lemma,@postag,@relation
1,ὡς,ὡς,c--------,AuxC
2,δ’,δέ,d-------_,AuxY
3,ἐν,ἐν,r--------,AuxP
4,τῷ,ὁ,l-s---nd-,ATR
5,καταφανεῖ,καταφανής,a-s---nd-,PNOM
6,πάντες,πᾶς,a-p---mn-,SBJ
7,ἀλλήλοις,ἀλλήλων,p-p---md-,ADV
8,ἐγένοντο,γίγνομαι,v3paim---,ADV_CO
9,καὶ,καί,c--------,COORD
10,ἔγνωσαν,γιγνώσκω,v3paia---,ADV_CO
11,οἱ,ὁ,l-p---mn-,ATR
12,πολέμιοι,πολέμιος,n-p---mn-,SBJ
13,πολὺ,πολύς,a-s---na-,ADV
14,ἑκατέρωθεν,ἑκατέρωθεν,d--------,ADV
15,ὑπερφαλαγγοῦντες,ὑπερφαλαγγέω,v-pppamn-,ADV
16,",",",",u--------,AuxX
17,στήσαντες,ἵστημι,v-papamn-,ADV
18,τὴν,ὁ,l-s---fa-,ATR
19,αὑτῶν,ἑαυτοῦ,p-p---mg-,ATR
20,φάλαγγα,φάλαγξ,n-s---fa-,OBJ
21,(,̔,u--------,AuxG
22,οὐ,οὐ,d--------,AuxZ
23,γὰρ,γάρ,d--------,AuxY
24,ἔστιν,εἰμί,v3spia---,PRED
25,ἄλλως,ἄλλος,d--------,ADV
26,κυκλοῦσθαι,κυκλόω,v--pne---,SBJ
27,),̓,u--------,AuxG
28,",",",",u--------,AuxX
29,ἐπέκαμπτον,ἐπικάμπτω,v3piia---,PRED
30,εἰς,εἰς,r--------,AuxP
31,κύκλωσιν,κύκλωσις,n-s---fa-,ADV
32,",",",",u--------,AuxX
33,ὥσπερ,ὥσπερ,c--------,AuxC
34,γάμμα,γάμμα,n-s---nn-,SBJ
35,ἑκατέρωθεν,ἑκατέρωθεν,d--------,ADV
36,τὴν,ὁ,l-s---fa-,ATR
37,ἑαυτῶν,ἑαυτοῦ,p-p---mg-,ATR
38,τάξιν,τάξις,n-s---fa-,OBJ
39,ποιήσαντες,ποιέω,v-papamn-,ADV
40,",",",",u--------,AuxX
41,ὡς,ὡς,c--------,AuxC
42,πάντοθεν,πάντοθεν,d--------,ADV
43,ἅμα,ἅμα,d--------,ADV
44,μάχοιντο,μάχομαι,v3ppoe---,ADV
45,.,.,u--------,AuxK
46,[0],[0],v_____---,ADV
