@id,@form,@lemma,@postag,@relation
1,αὕτη,οὗτος,p-s---fn-,SBJ
2,γὰρ,γάρ,d--------,AuxY
3,αὐτῷ,αὐτός,p-s---md-,OBJ
4,συγκρύπτειν,συγκρύπτω,v--pna---,OBJ_CO
5,ἐδόκει,δοκέω,v3siia---,PRED
6,εἴ,εἰ,c--------,AuxC
7,τίς,τις,p-s---mn-,SBJ
8,τι,τις,p-s---na-,OBJ
9,ἐν,ἐν,r--------,AuxP
10,τῷ,ὁ,l-s---nd-,ATR
11,σώματι,σῶμα,n-s---nd-,ADV
12,ἐνδεὲς,ἐνδεής,a-s---na-,ATR
13,ἔχοι,ἔχω,v3spoa---,ADV
14,",",punc1,u--------,AuxX
15,καὶ,καί,c--------,COORD
16,καλλίστους,καλός,a-p---mas,OCOMP_CO
17,καὶ,καί,c--------,COORD
18,μεγίστους,μέγας,a-p---mas,OCOMP_CO
19,ἐπιδεικνύναι,ἐπιδείκνυμι,v--pna---,OBJ_CO
20,τοὺς,ὁ,l-p---ma-,ATR
21,φοροῦντας,φορέω,v-pppama-,OBJ
22,·,punc1,u--------,AuxK
