@id,@form,@lemma,@postag,@relation
1,Λύσανδρος,Λύσανδρος,n-s---mn-,SBJ
2,δὲ,δέ,d--------,AuxY
3,τάς,ὁ,l-p---fa-,ATR
4,τε,τε,d--------,AuxY
5,ναῦς,ναῦς,n-p---fa-,OBJ
6,ἀναλαβὼν,ἀναλαμβάνω,v-sapamn-,ADV_CO
7,καὶ,καί,c--------,COORD
8,τροπαῖον,τροπαῖον,n-s---na-,OBJ
9,στήσας,ἵστημι,v-sapamn-,ADV_CO
10,ἐπὶ,ἐπί,r--------,AuxP
11,τοῦ,ὁ,l-s---ng-,ATR
12,Νοτίου,Νότιον,n-s---ng-,ADV
13,διέπλευσεν,διαπλέω,v3saia---,PRED_CO
14,εἰς,εἰς,r--------,AuxP
15,Ἔφεσον,Ἔφεσος,n-s---fa-,ADV
16,",",punc1,u--------,AuxX
17,οἱ,ὁ,l-p---mn-,ATR
18,δʼ,δέ,c--------,COORD
19,Ἀθηναῖοι,Ἀθηναῖος,n-p---mn-,SBJ
20,εἰς,εἰς,r--------,AuxP
21,Σάμον,Σάμος,n-s---fa-,ADV
22,.,punc1,u--------,AuxK
23,[0],[0],v_____---,PRED_CO
