@id,@form,@lemma,@postag,@relation
1,ταῦτα,οὗτος,p-p---na-,OBJ
2,δὲ,δέ,d--------,AuxY
3,εἰπόντες,εἶπον,v-papamn-,ADV
4,ἀλλήλοις,ἀλλήλων,p-p---md-,OBJ
5,σπονδὰς,σπονδή,n-p---fa-,OBJ
6,ἐποιήσαντο,ποιέω,v3paim---,PRED
7,",",punc1,u--------,AuxX
8,ἕως,ἕως,c--------,AuxC
9,ἀπαγγελθείη,ἀπαγγέλλω,v3saop---,ADV_CO
10,τὰ,ὁ,l-p---nn-,ATR
11,λεχθέντα,λέγω3,v-pappnn-,SBJ
12,Δερκυλίδᾳ,Δερκυλίδας,n-s---md-,OBJ
13,μὲν,μέν,d--------,AuxY
14,εἰς,εἰς,r--------,AuxP
15,Λακεδαίμονα,Λακεδαίμων,n-s---fa-,ADV
16,",",punc1,u--------,AuxX
17,Τισσαφέρνει,Τισσαφέρνης,n-s---md-,OBJ
18,δὲ,δέ,c--------,COORD
19,ἐπὶ,ἐπί,r--------,AuxP
20,βασιλέα,βασιλεύς,n-s---ma-,ADV
21,.,punc1,u--------,AuxK
22,ἀπαγγελθείη,ἀπαγγέλλω,v3saop---,ADV_CO
