,@id,@form,@lemma,@postag,@relation
0,1,μὴ,μή,d--------,AuxZ
1,2,τοίνυν,τοίνυν,d--------,AuxY
2,3,φανῆτε,φαίνω,v2pasp---,PRED_CO
3,4,",",punc1,u--------,AuxX
4,5,ὦ,ὦ,i--------,AuxZ
5,6,ἄνδρες,ἀνήρ,n-p---mv-,ExD
6,7,Ἀθηναῖοι,Ἀθηναῖος,a-p---mv-,ATR
7,8,",",punc1,u--------,AuxX
8,9,τῇ,ὁ,l-s---fd-,ATR
9,10,μὲν,μέν,d--------,AuxY
10,11,βουλῇ,βουλή,n-s---fd-,OBJ
11,12,χαλεπήναντες,χαλεπαίνω,v-papamn-,PNOM_CO
12,13,καὶ,καί,c--------,COORD
13,14,πεντακοσίους,πεντακόσιοι,a-p---ma-,ATR
14,15,ἄνδρας,ἀνήρ,n-p---ma-,OBJ
15,16,τῶν,ὁ,l-p---mg-,ATR
16,17,πολιτῶν,πολίτης,n-p---mg-,ATR
17,18,ἀστεφανώτους,ἀστεφάνωτος,a-p---ma-,OCOMP
18,19,ποιήσαντες,ποιέω,v-papamn-,PNOM_CO
19,20,",",punc1,u--------,AuxX
20,21,ὅτι,ὅτι2,c--------,AuxC
21,22,τοῦτον,οὗτος,p-s---ma-,OBJ
22,23,οὐκ,οὐ,d--------,AuxZ
23,24,ἐτιμωρήσατο,τιμωρέω,v3saim---,ADV
24,25,",",punc1,u--------,AuxX
25,26,αὐτοὶ,αὐτός,p-p---mn-,AtvV
26,27,δὲ,δέ,c--------,COORD
27,28,ἀφῆτε,ἀφίημι,v2pasa---,PRED_CO
28,29,",",punc1,u--------,AuxX
29,30,καὶ,καί,c--------,COORD
30,31,τὸν,ὁ,l-s---ma-,ATR
31,32,τῇ,ὁ,l-s---fd-,ATR
32,33,βουλῇ,βουλή,n-s---fd-,OBJ
33,34,μὴ,μή,d--------,AuxZ
34,35,συνενεγκόντα,συμφέρω,v-sapama-,ATR
35,36,ῥήτορα,ῥήτωρ,n-s---ma-,OBJ
36,37,",",punc1,u--------,AuxX
37,38,τοῦτον,οὗτος,a-s---ma-,ATR
38,39,τῷ,ὁ,l-s---md-,ATR
39,40,δήμῳ,δῆμος,n-s---md-,OBJ
40,41,περιποιήσητε,περιποιέω,v2pasa---,PRED_CO
41,42,.,punc1,u--------,AuxK
