,@id,@form,@lemma,@postag,@relation
0,1,καὶ,καί,d--------,AuxY
1,2,οὔ,οὐ,d--------,AuxZ
2,3,-τ᾽,τε,d--------,AuxY
3,4,εἰσάγειν,εἰσάγω,v--pna---,SBJ
4,5,δήπου,δήπου,d--------,AuxZ
5,6,οἷός,οἷος,a-s---mn-,PNOM
6,7,τ᾽,τε,d--------,AuxZ
7,8,ἂν,ἄν1,d--------,AuxY
8,9,ἦν,εἰμί,v3siia---,PRED_CO
9,10,ἐφ᾽,ἐπί,r--------,AuxP
10,11,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-,OBJ
11,12,",",punc1,u--------,AuxX
12,13,οὔ,οὐ,d--------,AuxZ
13,14,-τε,τε,c--------,COORD
14,15,παραδοῦναι,παραδίδωμι,v--ana---,SBJ
15,16,φόνου,φόνος,n-s---mg-,ATR
16,17,δίκην,δίκη,n-s---fa-,OBJ
17,18,ἔξεστιν,ἔξεστι,v3spia---,PRED_CO
18,19,",",punc1,u--------,AuxX
19,20,οὐ,οὐ,d--------,AuxZ
20,21,-δὲ,δέ,c--------,COORD
21,22,παρέδωκεν,παραδίδωμι,v3saia---,PRED_CO
22,23,οὐδεὶς,οὐδείς,a-s---mn-,ATR
23,24,πώποτε,πώποτε,d--------,ADV
24,25,βασιλεὺς,βασιλεύς,n-s---mn-,SBJ
25,26,ἐν,ἐν,r--------,AuxP
26,27,τῇ,ὁ,l-s---fd-,ATR
27,28,γῇ,γῆ,n-s---fd-,ADV
28,29,ταύτῃ,οὗτος,a-s---fd-,ATR
29,30,.,punc1,u--------,AuxK
