,@id,@form,@lemma,@postag,@relation
0,1,ὁ,ὁ,l-s---mn-,SBJ
1,2,δʼ,δέ,d--------,AuxY
2,3,",",punc1,u--------,AuxX
3,4,ἐπεί,ἐπεί,c--------,AuxC
4,5,οἱ,ἕ,p3s---md-,OBJ
5,6,πάντα,πᾶς,a-p---nn-,SBJ
6,7,",",punc1,u--------,AuxX
7,8,ὡς,ὡς,c--------,AuxC
8,9,ἐβούλετο,βούλομαι,v3siie---,ADV
9,10,",",punc1,u--------,AuxX
10,11,ἐπὶ,ἐπί,r--------,AuxP
11,12,τοῖς,ὁ,l-p---md-,ATR
12,13,ἐχθροῖς,ἐχθρός,n-p---md-,ADV
13,14,διῴκητο,διοικέω,v3slie---,ADV_CO
14,15,καὶ,καί,c--------,COORD
15,16,πολέμιον,πολέμιος,a-s---nn-,ATR
16,17,οὐδὲν,οὐδείς,p-s---nn-,SBJ
17,18,ἦν,εἰμί,v3siia---,ADV_CO
18,19,ἔτι,ἔτι,d--------,ADV
19,20,πλὴν,πλήν,r--------,AuxP
20,21,Σερτωρίου,Σερτώριος,n-s---mg-,ATR
21,22,μακρὰν,μακράν,d--------,PNOM
22,23,ὄντος,εἰμί,v-sppamg-,ATR
23,24,",",punc1,u--------,AuxX
24,25,Μέτελλον,Μέτελλος,n-s---ma-,OBJ
25,26,μὲν,μέν,d--------,AuxY
26,27,ἐπὶ,ἐπί,r--------,AuxP
27,28,τοῦτον,οὗτος,p-s---ma-,ADV
28,29,ἐξέπεμπεν,ἐκπέμπω,v3siia---,PRED_CO
29,30,ἐς,εἰς,r--------,AuxP
30,31,Ἰβηρίαν,Ἰβηρίη,n-s---fa-,OBJ
31,32,",",punc1,u--------,AuxX
32,33,τὰ,ὁ,l-p---na-,OBJ
33,34,δʼ,δέ,c--------,COORD
34,35,ἐν,ἐν,r--------,AuxP
35,36,τῇ,ὁ,l-s---fd-,ATR
36,37,πόλει,πόλις,n-s---fd-,ATR
37,38,καθίστατο,καθίστημι,v3siie---,PRED_CO
38,39,ἅπαντα,ἅπας,a-p---na-,ATR
39,40,ἐφʼ,ἐπί,r--------,AuxP
40,41,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-,ADV
41,42,",",punc1,u--------,AuxX
42,43,καθʼ,κατά,r--------,AuxP
43,44,ὃν,ὅς,a-s---ma-,ATR
44,45,ἐβούλετο,βούλομαι,v3siie---,ADV
45,46,τρόπον,τρόπος,n-s---ma-,ADV
46,47,.,punc1,u--------,AuxK
