,@id,@form,@lemma,@postag,@relation
0,1,ἀνιέμενοί,ἀνίημι,v-pppmmn-,ADV
1,2,τε,τε,d--------,AuxY
2,3,γὰρ,γάρ,d--------,AuxY
3,4,ὑβρίζουσι,ὑβρίζω,v3ppia---,PRED_CO
4,5,καὶ,καί,c--------,COORD
5,6,τῶν,ὁ,l-p---ng-,ATR
6,7,ἴσων,ἴσος,a-p---ng-,OBJ
7,8,ἀξιοῦσιν,ἀξιόω,v3ppia---,PRED_CO
8,9,ἑαυτοὺς,ἑαυτοῦ,p-p---ma-,OBJ
9,10,τοῖς,ὁ,l-p---md-,ATR
10,11,κυρίοις,κύριος,n-p---md-,ADV
11,12,",",punc1,u--------,AuxX
12,13,καὶ,καί,c--------,COORD
13,14,κακοπαθῶς,κακοπαθής,d--------,ADV
14,15,ζῶντες,ζάω,v-pppamn-,ADV
15,16,ἐπιβουλεύουσι,ἐπιβουλεύω,v3ppia---,PRED_CO
16,17,καὶ,καί,c--------,COORD
17,18,μισοῦσιν,μισέω,v3ppia---,PRED_CO
18,19,.,punc1,u--------,AuxK
