,@id,@form,@lemma,@postag,@relation
0,1,καὶ,καί,d--------,AuxY
1,2,ἐπὶ,ἐπί,r--------,AuxP
2,3,τοῖς,ὁ,l-p---md-,ATR
3,4,φόνοις,φόνος,n-p---md-,ADV
4,5,τούτοις,οὗτος,a-p---md-,ATR
5,6,ἀπεστράφη,ἀποστρέφω,v3saip---,PRED_CO
6,7,μὲν,μέν,d--------,AuxY
7,8,τὸ,ὁ,l-s---nn-,ATR
8,9,τῆς,ὁ,l-s---fg-,ATR
9,10,Ἥρας,Ἥρα,n-s---fg-,ATR
10,11,ἄγαλμα,ἄγαλμα,n-s---nn-,SBJ
11,12,",",punc1,u--------,AuxX
12,13,τὸ,ὁ,l-s---nn-,ATR
13,14,δὲ,δέ,c--------,COORD
14,15,ἔδαφος,ἔδαφος,n-s---nn-,SBJ
15,16,ἀνῆκε,ἀνίημι,v3saia---,PRED_CO
16,17,πηγὴν,πηγή,n-s---fa-,OBJ
17,18,αἵματος,αἷμα,n-s---ng-,ATR
18,19,",",punc1,u--------,AuxX
19,20,ὥστε,ὥστε,c--------,AuxC
20,21,τὸν,ὁ,l-s---ma-,ATR
21,22,σύνεγγυς,σύνεγγυς,d--------,ATR
22,23,ἅπαντα,ἅπας,a-s---ma-,ATR
23,24,τόπον,τόπος,n-s---ma-,OBJ
24,25,κατεχάλκωσαν,καταχαλκόω,v3paia---,ADV
25,26,θυρίσι,θυρίς,n-p---fd-,OBJ
26,27,",",punc1,u--------,AuxX
27,28,βουλόμενοι,βούλομαι,v-pppemn-,ADV
28,29,στῆσαι,ἵστημι,v--ana---,OBJ
29,30,τὴν,ὁ,l-s---fa-,ATR
30,31,τοῦ,ὁ,l-s---ng-,ATR
31,32,αἵματος,αἷμα,n-s---ng-,ATR
32,33,ἀναφοράν,ἀναφορά,n-s---fa-,OBJ
33,34,.,punc1,u--------,AuxK
