,@id,@form,@lemma,@postag,@relation
0,1,Φύλαρχος,Φύλαρχος,n-s---mn-,SBJ
1,2,δ᾽,δέ,d--------,AuxY
2,3,ἐν,ἐν,r--------,AuxP
3,4,τῇ,ὁ,l-s---fd-,ADV
4,5,τρίτῃ,τρίτος,a-s---fd-,ATR_CO
5,6,καὶ,καί,c--------,COORD
6,7,εἰκοστῇ,εἰκοστή,a-s---fd-,ATR_CO
7,8,τῶν,ὁ,l-p---fg-,ATR
8,9,Ἱστοριῶν,Ἱστορίη,n-p---fg-,PRED_CO
9,10,καὶ,καί,c--------,COORD
10,11,Ἀγαθαρχίδης,Ἀγαθαρχίδης,n-s---mn-,SBJ
11,12,ὁ,ὁ,l-s---mn-,ATR
12,13,Κνίδιος,Κνίδιος,a-s---mn-,ATR
13,14,ἐν,ἐν,r--------,AuxP
14,15,τῷ,ὁ,l-s---md-,ADV
15,16,δεκάτῳ,δέκατος,a-s---md-,ATR
16,17,περὶ,περί,r--------,AuxP
17,18,Ἀσίας,Ἀσίας,n-s---fg-,ATR
18,19,καὶ,καί,d--------,AuxZ
19,20,τοὺς,ὁ,l-p---ma-,ATR
20,21,ἑταίρους,ἑταῖρος,n-p---ma-,SBJ
21,22,φησὶ,φημί,v3spia---,PRED_CO
22,23,τοὺς,ὁ,l-p---ma-,ATR
23,24,Ἀλεξάνδρου,Ἀλέξανδρος,n-s---mg-,ATR
24,25,ὑπερβαλλούσῃ,ὑπερβάλλω,v-sppafd-,ATR
25,26,τρυφῇ,τρυφή,n-s---fd-,OBJ
26,27,χρήσασθαι,χράω2,v--anm---,OBJ
27,28,.,punc1,u--------,AuxK
