,@id,@form,@lemma,@postag,@relation
0,1,ἐὰν,ἐάν,c--------,AuxC
1,2,δέ,δέ,d--------,AuxY
2,3,τις,τις,p-s---cn-,SBJ
3,4,ἐκδῷ,ἐκδίδωμι,v3sasa---,ADV
4,5,ξένην,ξένη,n-s---fa-,OBJ
5,6,γυναῖκα,γυνή,n-s---fa-,OCOMP
6,7,ἀνδρὶ,ἀνήρ,n-s---md-,OBJ
7,8,Ἀθηναίῳ,Ἀθηναῖος,a-s---md-,ATR
8,9,ὡς,ὡς,d--------,AuxZ
9,10,ἑαυτῷ,ἑαυτοῦ,p-s---md-,OBJ
10,11,προσήκουσαν,προσήκω,v-sppafa-,ADV
11,12,",",",",u--------,AuxX
12,13,ἄτιμος,ἄτιμος,a-s---mn-,PNOM
13,14,ἔστω,εἰμί,v3spma---,PRED_CO
14,15,",",",",u--------,AuxX
15,16,καὶ,καί,d--------,AuxY
16,17,ἡ,ὁ,l-s---fn-,ATR
17,18,οὐσία,οὐσία,n-s---fn-,SBJ
18,19,αὐτοῦ,αὐτός,p-s---mg-,ATR
19,20,δημοσία,δημόσιος,a-s---fn-,PNOM
20,21,ἔστω,εἰμί,v3spma---,PRED_CO
21,22,",",",",u--------,AuxX
22,23,καὶ,καί,c--------,COORD
23,24,τοῦ,ὁ,l-s---mg-,ATR
24,25,ἑλόντος,αἱρέω,v-sapamg-,PNOM
25,26,τὸ,ὁ,l-s---nn-,ATR
26,27,τρίτον,τρίτος,a-s---nn-,ATR
27,28,μέρος,μέρος,n-s---nn-,SBJ
28,29,.,.,u--------,AuxK
29,30,ἔστω,εἰμί,v3spma---,PRED_CO
