,@id,@form,@lemma,@postag,@relation
0,1,ἀλλὰ,ἀλλά,d--------,AuxY
1,2,μήν,μήν,d--------,AuxY
2,3,",",",",u--------,AuxX
3,4,εἰ,εἰ,c--------,AuxC
4,5,τοῦτο,οὗτος,p-s---nn-,SBJ
5,6,γενήσεται,γίγνομαι,v3sfim---,ADV
6,7,",",",",u--------,AuxX
7,8,δέδοικ’,δείδω,v1sria---,PRED
8,9,",",",",u--------,AuxX
9,10,ὦ,ὦ,i--------,AuxZ
10,11,ἄνδρες,ἀνήρ,n-p---mv-,ExD
11,12,Ἀθηναῖοι,Ἀθηναῖος,a-p---mv-,ATR
12,13,",",",",u--------,AuxX
13,14,μὴ,μή,c--------,AuxC
14,15,τὸν,ὁ,l-s---ma-,ATR
15,16,αὐτὸν,αὐτός,a-s---ma-,ATR
16,17,τρόπον,τρόπος,n-s---ma-,ADV
17,18,ὥσπερ,ὥσπερ,c--------,AuxC
18,19,οἱ,ὁ,l-p---mn-,ATR
19,20,δανειζόμενοι,δανείζω,v-pppemn-,SBJ
20,21,ῥᾳδίως,ῥᾴδιος,d--------,ADV
21,22,ἐπὶ,ἐπί,r--------,AuxP
22,23,τοῖς,ὁ,l-p---md-,ATR
23,24,μεγάλοις,μέγας,a-p---md-,ATR
24,25,τόκοις,τόκος,n-p---md-,ADV
25,26,μικρὸν,μικρός,a-s---ma-,ATR
26,27,εὐπορήσαντες,εὐπορέω,v-papamn-,ADV
27,28,χρόνον,χρόνος,n-s---ma-,OBJ
28,29,ὕστερον,ὕστερον,d-------c,ADV
29,30,καὶ,καί,d--------,AuxZ
30,31,τῶν,ὁ,l-p---ng-,ATR
31,32,ἀρχαίων,ἀρχαῖος,a-p---ng-,OBJ
32,33,ἀπέστησαν,ἀφίστημι,v3paia---,ADV
33,34,",",",",u--------,AuxX
34,35,οὕτω,οὕτως,d--------,ADV
35,36,καὶ,καί,d--------,AuxZ
36,37,ἡμεῖς,ἐγώ,p1p---mn-,SBJ
37,38,ἂν,ἄν,d--------,AuxY
38,39,ἐπὶ,ἐπί,r--------,AuxP
39,40,πολλῷ,πολύς,a-s---nd-,ADV
40,41,φανῶμεν,φαίνω,v1pasp---,OBJ_CO
41,42,ἐρρᾳθυμηκότες,ῥᾳθυμέω,v-prpamn-,PNOM
42,43,",",",",u--------,AuxX
43,44,καὶ,καί,d--------,AuxY
44,45,ἅπαντα,ἅπας,a-p---na-,OBJ
45,46,πρὸς,πρός,r--------,AuxP
46,47,ἡδονὴν,ἡδονή,n-s---fa-,ADV
47,48,ζητοῦντες,ζητέω,v-pppamn-,ADV
48,49,πολλὰ,πολύς,a-p---na-,OBJ_CO
49,50,καὶ,καί,c--------,COORD
50,51,χαλεπὰ,χαλεπός,a-p---na-,OBJ_CO
51,52,ὧν,ὅς,p-p---ng-,OBJ
52,53,οὐκ,οὐ,d--------,AuxZ
53,54,ἐβουλόμεθ’,βούλομαι,v1piie---,ATR
54,55,ὕστερον,ὕστερον,d-------c,ADV
55,56,εἰς,εἰς,r--------,AuxP
56,57,ἀνάγκην,ἀνάγκη,n-s---fa-,ADV
57,58,ἔλθωμεν,ἔρχομαι,v1pasa---,OBJ_CO
58,59,ποιεῖν,ποιέω,v--pna---,OBJ
59,60,",",",",u--------,AuxX
60,61,καὶ,καί,c--------,COORD
61,62,κινδυνεύσωμεν,κινδυνεύω,v1pasa---,OBJ_CO
62,63,περὶ,περί,r--------,AuxP
63,64,τῶν,ὁ,l-p---ng-,ADV
64,65,ἐν,ἐν,r--------,AuxP
65,66,αὐτῇ,αὐτός,a-s---fd-,ATR
66,67,τῇ,ὁ,l-s---fd-,ATR
67,68,χώρᾳ,χώρα,n-s---fd-,ATR
68,69,.,.,u--------,AuxK
