,@id,@form,@lemma,@postag,@relation
0,1,πρότερον,πρότερος,a-s---na-,ADV
1,2,μὲν,μέν,d--------,AuxY
2,3,οὖν,οὖν,d--------,AuxY
3,4,ὑμῶν,σύ,p2p---mg-,OBJ
4,5,κατεγίγνωσκον,καταγιγνώσκω,v1siia---,PRED
5,6,ἐπὶ,ἐπί,r--------,AuxP
6,7,τῷ,ὁ,l-s---nd-,ATR
7,8,μέλλειν,μέλλω,v--pna---,ADV
8,9,πείθεσθαι,πείθω,v--pne---,OBJ_CO
9,10,ταῖς,ὁ,l-p---fd-,ATR
10,11,ἐκείνων,ἐκεῖνος,p-p---mg-,ATR
11,12,ἐλπίσι,ἐλπίς,n-p---fd-,OBJ
12,13,καὶ,καί,c--------,COORD
13,14,ἐπακολουθεῖν,ἐπακολουθέω,v--pna---,OBJ_CO
14,15,αὐτῶν,αὐτός,p-p---mg-,ATR
15,16,τῇ,ὁ,l-s---fd-,ATR
16,17,προαιρέσει,προαίρεσις,n-s---fd-,OBJ
17,18,.,punc1,u--------,AuxK
