,@id,@form,@lemma,@postag,@relation
0,1,ὅποι,ὅποι,d--------,AuxC
1,2,δʼ,δέ,d--------,AuxY
2,3,ἂν,ἄν1,d--------,AuxY
3,4,στρατηγὸν,στρατηγός,n-s---ma-,OBJ_CO
4,5,καὶ,καί,d--------,AuxY
5,6,ψήφισμα,ψήφισμα,n-s---na-,OBJ_CO
6,7,κενὸν,κενός,a-s---na-,ATR
7,8,καὶ,καί,c--------,COORD
8,9,τὰς,ὁ,l-p---fa-,ATR
9,10,ἀπὸ,ἀπό,r--------,AuxP
10,11,τοῦ,ὁ,l-s---ng-,ATR
11,12,βήματος,βῆμα,n-s---ng-,ATR
12,13,ἐλπίδας,ἐλπίς,n-p---fa-,OBJ_CO
13,14,ἐκπέμψητε,ἐκπέμπω,v2pasa---,ADV
14,15,",",punc1,u--------,AuxX
15,16,οὐδὲν,οὐδείς,p-s---nn-,SBJ
16,17,ὑμῖν,σύ,p2p---md-,PNOM
17,18,τῶν,ὁ,l-p---ng-,ATR
18,19,δεόντων,δεῖ,v-pppang-,ATR
19,20,γίγνεται,γίγνομαι,v3spie---,PRED_CO
20,21,",",punc1,u--------,AuxX
21,22,ἀλλʼ,ἀλλά,c--------,COORD
22,23,οἱ,ὁ,l-p---mn-,ATR
23,24,μὲν,μέν,d--------,AuxY
24,25,ἐχθροὶ,ἐχθρός,a-p---mn-,SBJ
25,26,καταγελῶσιν,καταγελάω,v3ppia---,PRED_CO
26,27,",",punc1,u--------,AuxX
27,28,οἱ,ὁ,l-p---mn-,ATR
28,29,δὲ,δέ,c--------,COORD
29,30,σύμμαχοι,σύμμαχος,n-p---mn-,SBJ
30,31,τεθνᾶσι,θνήσκω,v3pria---,PRED_CO
31,32,τῷ,ὁ,l-s---nd-,ATR
32,33,δέει,δέος,n-s---nd-,ADV
33,34,τοὺς,ὁ,l-p---ma-,ATR
34,35,τοιούτους,τοιοῦτος,a-p---ma-,ATR
35,36,ἀποστόλους,ἀπόστολος,n-p---ma-,OBJ
36,37,.,punc1,u--------,AuxK
