,@id,@form,@lemma,@postag,@relation
0,1,ἐμοὶ,ἐγώ,p1s---md-,PNOM
1,2,γὰρ,γάρ,d--------,AuxY
2,3,πρὸς,πρός,r--------,AuxP
3,4,Θεόφημον,Θεόφημος,n-s---ma-,ADV
4,5,συμβόλαιον,συμβόλαιον,n-s---nn-,SBJ_CO
5,6,μὲν,μέν,d--------,AuxY
6,7,οὐδὲν,οὐδείς,a-s---nn-,ATR
7,8,πώποτε,πώποτε,d--------,ADV
8,9,πρότερον,πρότερος,a-s---na-,ADV
9,10,ἐν,ἐν,r--------,AuxP
10,11,τῷ,ὁ,l-s---md-,ATR
11,12,βίῳ,βίος,n-s---md-,ADV
12,13,ἐγένετο,γίγνομαι,v3saim---,PRED
13,14,",",",",u--------,AuxX
14,15,οὐ,οὐ,d--------,AuxΖ
15,16,-δ’,δέ,c--------,COORD
16,17,αὖ,αὖ,d--------,AuxZ
17,18,κῶμος,κῶμος,n-s---mn-,SBJ_CO
18,19,ἢ,ἤ1,d--------,AuxY
19,20,ἔρως,ἔρως,n-s---mn-,SBJ_CO
20,21,ἢ,ἤ1,c--------,COORD
21,22,πότος,πότος,n-s---mn-,SBJ_CO
22,23,",",",",u--------,AuxX
23,24,ὥστε,ὥστε,c--------,AuxC
24,25,διαφερόμενον,διαφέρω,v-sppema-,ADV_CO
25,26,περί,περί,r--------,AuxP
26,27,τινος,τις,a-s---ng-,ATR
27,28,πλεονεκτήματος,πλεονέκτημα,n-s---ng-,ADV
28,29,ἢ,ἤ1,c--------,COORD
29,30,παροξυνόμενον,παροξύνω,v-sppema-,ADV_CO
30,31,ὑπὸ,ὑπό,r--------,AuxP
31,32,ἡδονῆς,ἡδονή,n-s---fg-,OBJ
32,33,τινὸς,τις,a-s---cg-,ATR
33,34,ἐλθεῖν,ἔρχομαι,v--ana---,ADV
34,35,ἐπὶ,ἐπί,r--------,AuxP
35,36,τὴν,ὁ,l-s---fa-,ATR
36,37,οἰκίαν,οἰκία,n-s---fa-,OBJ
37,38,τὴν,ὁ,l-s---fa-,ATR
38,39,τούτου,οὗτος,p-s---mg-,ATR
39,40,.,.,u--------,AuxK
