,@id,@form,@lemma,@postag,@relation
0,1,τοῦ,ὁ,l-s---mg-,ATR
1,2,δὲ,δέ,d--------,AuxY
2,3,βασιλέως,βασιλεύς,n-s---mg-,SBJ
3,4,περὶ,περί,r--------,AuxP
4,5,ταῦτα,οὗτος,p-p---na-,ADV
5,6,διατρίβοντος,διατρίβω,v-sppamg-,ADV
6,7,",",punc1,u--------,AuxX
7,8,κατέπλευσεν,καταπλέω,v3saia---,PRED
8,9,ὁ,ὁ,l-s---mn-,ATR
9,10,στόλος,στόλος,n-s---mn-,SBJ
10,11,ἐκ,ἐκ,r--------,AuxP
11,12,τῆς,ὁ,l-s---fg-,ATR
12,13,Εὐβοίας,Εὔβοια,n-s---fg-,ADV
13,14,εἰς,εἰς,r--------,AuxP
14,15,τὴν,ὁ,l-s---fa-,ATR
15,16,Ἀττικήν,Ἀττική,n-s---fa-,OBJ
16,17,",",punc1,u--------,AuxX
17,18,πεπορθηκὼς,πορθέω,v-srpamn-,ADV
18,19,τήν,ὁ,l-s---fa-,ATR
19,20,τε,τε,d--------,AuxY
20,21,Εὔβοιαν,Εὔβοια,n-s---fa-,OBJ_CO
21,22,καὶ,καί,c--------,COORD
22,23,τὴν,ὁ,l-s---fa-,ATR
23,24,παράλιον,παράλιον,n-s---na-,OBJ_CO
24,25,τῆς,ὁ,l-s---fg-,ATR
25,26,Ἀττικῆς,Ἀττική,n-s---fg-,ATR
26,27,.,punc1,u--------,AuxK
