,@id,@form,@lemma,@postag,@relation
0,1,οἱ,ὁ,l-p---mn-,SBJ
1,2,δὲ,δέ,d--------,AuxY
2,3,περὶ,περί,r--------,AuxP
3,4,τὸν,ὁ,l-s---ma-,ATR
4,5,Λεωτυχίδην,Λεωτυχίδης,n-s---ma-,ATR
5,6,παντὶ,πᾶς,a-s---md-,ATR
6,7,τῷ,ὁ,l-s---md-,ATR
7,8,στόλῳ,στόλος,n-s---md-,ADV
8,9,κεκοσμημένῳ,κοσμέω,v-srpemd-,ATR
9,10,προσπλεύσαντες,προσπλέω,v-papamn-,ADV
10,11,τοῖς,ὁ,l-p---md-,ATR
11,12,ἐν,ἐν,r--------,AuxP
12,13,τῇ,ὁ,l-s---fd-,ATR
13,14,Μυκάλῃ,Μυκάλη,n-s---fd-,ATR
14,15,βαρβάροις,βάρβαρος,n-p---md-,OBJ
15,16,",",punc1,u--------,AuxX
16,17,ναῦν,ναῦς,n-s---fa-,OBJ
17,18,προαπέστειλαν,προαποστέλλω,v3paia---,PRED
18,19,ἔχουσαν,ἔχω,v-sppafa-,ATR
19,20,κήρυκα,κῆρυξ,n-s---ma-,OBJ
20,21,τὸν,ὁ,l-s---ma-,ATR
21,22,μεγαλοφωνότατον,μεγαλόφωνος,a-s---mas,ATR
22,23,τῶν,ὁ,l-p---mg-,ATR
23,24,ἐν,ἐν,r--------,AuxP
24,25,τῷ,ὁ,l-s---nd-,ATR
25,26,στρατοπέδῳ,στρατόπεδον,n-s---nd-,ATR
26,27,.,punc1,u--------,AuxK
