,@id,@form,@lemma,@postag,@relation
0,1,ἦσαν,εἰμί,v3piia---,PRED
1,2,δὲ,δέ,d--------,AuxY
2,3,σύντροφοί,σύντροφος,a-p---fn-,PNOM_CO
3,4,τε,τε,d--------,AuxY
4,5,καὶ,καί,d--------,AuxY
5,6,ἡλικίαν,ἡλικία,n-s---fa-,OBJ
6,7,ἔχουσαι,ἔχω,v-pppafn-,PNOM_CO
7,8,τὴν,ὁ,l-s---fa-,ATR
8,9,αὐτὴν,αὐτός,a-s---fa-,ATR
9,10,ἀσπαζόμεναί,ἀσπάζομαι,v-pppefn-,PNOM_CO
10,11,τε,τε,c--------,COORD
11,12,ἀλλήλας,ἀλλήλων,p-p---fa-,OBJ
12,13,ὡς,ὡς,c--------,AuxC
13,14,ἀδελφάς,ἀδελφή,n-p---fa-,OBJ
14,15,.,punc1,u--------,AuxK
