,@id,@form,@lemma,@postag,@relation
0,1,ἅτε,ἅτε,c--------,AuxC
1,2,δὴ,δή,d--------,AuxY
2,3,Μίνω,Μίνως,n-s---mg-,SBJ
3,4,τε,τε,d--------,AuxY
4,5,κατεστραμμένου,καταστρέφω,v-srpemg-,ADV_CO
5,6,γῆν,Γαῖα,n-s---fa-,OBJ
6,7,πολλὴν,πολύς,a-s---fa-,ATR
7,8,καὶ,καί,c--------,AuxC
8,9,εὐτυχέοντος,εὐτυχέω,v-sppamg-,ADV_CO
9,10,τῷ,ὁ,l-s---md-,ATR
10,11,πολέμῳ,πόλεμος,n-s---md-,ADV
11,12,",",punc1,u--------,AuxX
12,13,τὸ,ὁ,l-s---nn-,ATR
13,14,Καρικὸν,Καρικός,a-s---nn-,ATR
14,15,ἦν,εἰμί,v3siia---,PRED
15,16,ἔθνος,ἔθνος,n-s---nn-,SBJ
16,17,λογιμώτατον,λόγιμος,a-s---nns,PNOM
17,18,τῶν,ὁ,l-p---ng-,ATR
18,19,ἐθνέων,ἔθνος,n-p---ng-,ATR
19,20,ἁπάντων,ἅπας,a-p---ng-,ATR
20,21,κατὰ,κατά,r--------,AuxP
21,22,τοῦτον,οὗτος,a-s---ma-,ATR
22,23,ἅμα,ἅμα,d--------,ATR
23,24,τὸν,ὁ,l-s---ma-,ATR
24,25,χρόνον,χρόνος,n-s---ma-,ADV
25,26,μακρῷ,μακρός,a-s---nd-,ADV
26,27,μάλιστα,μάλιστα,d--------,ADV
27,28,.,punc1,u--------,AuxK
