,@id,@form,@lemma,@postag,@relation
0,1,οἷς,ὅς,p-p---md-,OBJ
1,2,πεισθεὶς,πείθω,v-sappmn-,ADV
2,3,κάτεισιν,κάτειμι,v3spia---,PRED_CO
3,4,πρὸς,πρός,r--------,AuxP
4,5,Πομπήιον,Πομπήιος,n-s---ma-,OBJ
5,6,καὶ,καί,c--------,COORD
6,7,πολλὰ,πολύς,a-p---na-,OBJ
7,8,περὶ,περί,r--------,AuxP
8,9,τοῦ,ὁ,l-s---ng-,ATR
9,10,δικαίως,δίκαιος,d--------,ADV
10,11,ἄρχειν,ἄρχω,v--pna---,ADV
11,12,ἀπολογηθεὶς,ἀπολογέομαι,v-sapemn-,ADV
12,13,ὑπέστρεψεν,ὑποστρέφω,v3saia---,PRED_CO
13,14,εἰς,εἰς,r--------,AuxP
14,15,τὸ,ὁ,l-s---na-,ATR
15,16,ἔρυμα,ἔρυμα,n-s---na-,OBJ
16,17,.,punc1,u--------,AuxK
