,@id,@form,@lemma,@postag,@relation
0,1,τί,τις,p-s---nn-,SBJ
1,2,δʼ,δέ,d--------,AuxY
2,3,ἂν,ἄν1,d--------,AuxZ
3,4,αἴσχιον,αἰσχρός,a-s---nnc,ATR
4,5,ἔθος,ἔθος,n-s---nn-,PNOM_CO
5,6,ἢ,ἤ1,c--------,COORD
6,7,δεινότερον,δεινός,a-s---nnc,ATR
7,8,πρᾶγμα,πρᾶγμα,n-s---nn-,PNOM_CO
8,9,τούτου,οὗτος,p-s---ng-,ADV
9,10,ἐν,ἐν,r--------,AuxP
10,11,τῇ,ὁ,l-s---fd-,ATR
11,12,πόλει,πόλις,n-s---fd-,ADV
12,13,γένοιτο,γίγνομαι,v3saom---,PRED
13,14,",",punc1,u--------,AuxX
14,15,εἰ,εἰ,c--------,AuxC
15,16,τολμήσει,τολμάω,v3sfia---,ADV_CO
16,17,ὁ,ὁ,l-s---mn-,ATR
17,18,μὲν,μέν,d--------,AuxY
18,19,ἄρχων,ἄρχων,n-s---mn-,SBJ
19,20,ἐν,ἐν,r--------,AuxP
20,21,ταῖς,ὁ,l-p---fd-,ATR
21,22,τῶν,ὁ,l-p---fg-,ATR
22,23,ἐπικλήρων,ἐπίκληρος,n-p---fg-,ATR
23,24,δίκαις,δίκη,n-p---fd-,OBJ
24,25,ἀντιβολεῖν,ἀντιβολέω,v--pna---,OBJ_CO
25,26,καὶ,καί,c--------,COORD
26,27,ἱκετεύειν,ἱκετεύω,v--pna---,OBJ_CO
27,28,τοὺς,ὁ,l-p---ma-,ATR
28,29,δικαστὰς,δικαστής,n-p---ma-,OBJ
29,30,ὅ,ὅς,p-s---na-,OBJ
30,31,τι,τις,p-s---na-,ATR
31,32,ἂν,ἄν1,d--------,AuxZ
32,33,βούληται,βούλομαι,v3spse---,OBJ
33,34,πραχθῆναι,πράσσω,v--anp---,OBJ
34,35,",",punc1,u--------,AuxX
35,36,ὁ,ὁ,l-s---mn-,ATR
36,37,δὲ,δέ,c--------,COORD
37,38,πολέμαρχος,πολέμαρχος,n-s---mn-,SBJ_CO
38,39,καὶ,καί,c--------,COORD
39,40,οἱ,ὁ,l-p---mn-,ATR
40,41,ἕνδεκα,ἕνδεκα,a--------,SBJ_CO
41,42,δεήσονται,δέω2,v3pfim---,ADV_CO
42,43,ἐν,ἐν,r--------,AuxP
43,44,ταῖς,ὁ,l-p---fd-,ATR
44,45,δίκαις,δίκη,n-p---fd-,ADV
45,46,ταῖς,ὁ,l-p---fd-,ATR
46,47,ὑφʼ,ὑπό,r--------,AuxP
47,48,ἑαυτῶν,ἑαυτοῦ,p-p---mg-,OBJ
48,49,εἰσαγομέναις,εἰσάγω,v-pppefd-,ATR
49,50,",",punc1,u--------,AuxX
50,51,ὥσπερ,ὥσπερ,c--------,AuxC
51,52,καὶ,καί,d--------,AuxZ
52,53,νῦν,νῦν,d--------,ADV
53,54,;,punc1,u--------,AuxK
