,@id,@form,@lemma,@postag,@relation
0,1,δέομαι,δέομαι,v1spie---,PRED
1,2,οὖν,οὖν,d--------,AuxY
2,3,ὑμῶν,σύ,p2p---mg-,OBJ
3,4,",",punc1,u--------,AuxX
4,5,ὦ,ὦ,i--------,AuxZ
5,6,ἄνδρες,ἀνήρ,n-p---mv-,ExD
6,7,δικασταί,δικαστής,n-p---mv-,ATR
7,8,",",punc1,u--------,AuxX
8,9,καὶ,καί,d--------,AuxY
9,10,τούτων,οὗτος,p-p---ng-,OBJ_CO
10,11,καὶ,καί,c--------,COORD
11,12,τῶν,ὁ,l-p---ng-,ATR
12,13,ἄλλων,ἄλλος,p-p---ng-,OBJ_CO
13,14,μεμνημένους,μιμνήσκω,v-prpema-,ADV
14,15,ἁπάντων,ἅπας,a-p---ng-,ATR
15,16,τῶν,ὁ,l-p---ng-,ATR
16,17,εἰρημένων,ἐρῶ,v-prpeng-,ATR
17,18,βοηθεῖν,βοηθέω,v--pna---,OBJ_CO
18,19,ἡμῖν,ἐγώ,p1p---md-,OBJ
19,20,καὶ,καί,c--------,COORD
20,21,μὴ,μή,d--------,AuxZ
21,22,περιιδεῖν,περί-ἰδέω,v--pna---,OBJ_CO
22,23,ὑπὸ,ὑπό,r--------,AuxP
23,24,τῶν,ὁ,l-p---mg-,ATR
24,25,ἐχθρῶν,ἐχθρός,n-p---mg-,OBJ
25,26,ἀναιρεθέντας,ἀναιρέω,v-pappma-,OBJ
26,27,.,punc1,u--------,AuxK
