,@id,@form,@lemma,@postag,@relation
0,1,τάχʼ,τάχα,d--------,ADV
1,2,ἂν,ἄν1,d--------,AuxY
2,3,οὖν,οὖν,d--------,AuxY
3,4,τις,τις,p-s---cn-,SBJ
4,5,ταῦτα,οὗτος,p-p---na-,OBJ
5,6,ἐννοήσας,ἐννοέω,v-sapamn-,ADV
6,7,αὐθαδέστερον,αὐθάδης,a-s---mac,OCOMP
7,8,ἂν,ἄν1,d--------,AuxY
8,9,πρός,πρός,r--------,AuxP
9,10,με,ἐγώ,p1s---ma-,ADV
10,11,σχοίη,ἔχω,v3saoa---,PRED_CO
11,12,καὶ,καί,c--------,COORD
12,13,ὀργισθεὶς,ὀργίζω,v-sappmn-,ADV
13,14,αὐτοῖς,αὐτός,a-p---nd-,ATR
14,15,τούτοις,οὗτος,p-p---nd-,OBJ
15,16,θεῖτο,θέω,v3spom---,PRED_CO
16,17,ἂν,ἄν1,d--------,AuxY
17,18,μετʼ,μετά,r--------,AuxP
18,19,ὀργῆς,ὀργή,n-s---fg-,ADV
19,20,τὴν,ὁ,l-s---fa-,ATR
20,21,ψῆφον,ψῆφος,n-s---fa-,OBJ
21,22,.,punc1,u--------,AuxK
