,@id,@form,@lemma,@postag,@relation
0,1,ἐπεὶ,ἐπεί,c--------,AuxC
1,2,δὲ,δέ,d--------,AuxY
2,3,Τίμων,Τίμων,n-s---mn-,SBJ
3,4,ὁ,ὁ,l-s---mn-,ATR
4,5,μισάνθρωπος,μισάνθρωπος,a-s---mn-,ATR
5,6,εὐημερήσαντα,εὐημερέω,v-sapama-,OBJ_CO
6,7,τὸν,ὁ,l-s---ma-,ATR
7,8,Ἀλκιβιάδην,Ἀλκιβιάδης,n-s---ma-,SBJ
8,9,καὶ,καί,c--------,COORD
9,10,προπεμπόμενον,προπέμπω,v-sppema-,OBJ_CO
10,11,ἀπὸ,ἀπό,r--------,AuxP
11,12,τῆς,ὁ,l-s---fg-,ATR
12,13,ἐκκλησίας,ἐκκλησία,n-s---fg-,ADV
13,14,ἐπιφανῶς,ἐπιφανής,d--------,ADV
14,15,οὐ,οὐ,d--------,AuxZ
15,16,παρῆλθεν,παρέρχομαι,v3saia---,PRED_CO
16,17,οὐδʼ,οὐδʼ,c--------,COORD
17,18,ἐξέκλινεν,ἐκκλίνω,v3saia---,PRED_CO
18,19,",",punc1,u--------,AuxX
19,20,ὥσπερ,ὥσπερ,c--------,AuxC
20,21,εἰώθει,ἔθω,v3slia---,ADV
21,22,τοὺς,ὁ,l-p---ma-,ATR
22,23,ἄλλους,ἄλλος,p-p---ma-,OBJ
23,24,",",punc1,u--------,AuxX
24,25,ἀλλʼ,ἀλλά,c--------,COORD
25,26,ἀπαντήσας,ἀπαντάω,v-sapamn-,ADV_CO
26,27,καὶ,καί,c--------,COORD
27,28,δεξιωσάμενος,δεξιόομαι,v-sapemn-,ADV_CO
28,29,",",punc1,u--------,AuxX
29,30,εὖ,εὖ,d--------,ADV
30,31,γʼ,γε,d--------,AuxZ
31,32,",",punc1,u--------,AuxX
32,33,ἔφη,φημί,v3siia---,PRED_CO
33,34,",",punc1,u--------,AuxX
34,35,ποιεῖς,ποιέω,v2spia---,OBJ
35,36,αὐξόμενος,αὐξάνω,v-sppemn-,AtvV
36,37,",",punc1,u--------,AuxX
37,38,ὦ,ὦ,i--------,AuxZ
38,39,παῖ,παῖς,n-s---mv-,ExD
39,40,·,punc1,u--------,AuxK
