,@id,@form,@lemma,@postag,@relation
0,1,καὶ,καί,d--------,AuxZ
1,2,τὰ,ὁ,l-p---nn-,ATR
2,3,παρʼ,παρά,r--------,AuxP
3,4,ἡμῖν,ἐγώ,p1p---md-,ATR
4,5,ἐν,ἐν,r--------,AuxP
5,6,Χαιρωνείᾳ,Χαιρωνεία,n-s---fd-,ATR
6,7,τρόπαια,τρόπαιον,n-p---nn-,SBJ_CO
7,8,καὶ,καί,c--------,COORD
8,9,τὰ,ὁ,l-p---nn-,ATR
9,10,τῶν,ὁ,l-p---mg-,ATR
10,11,Μιθριδατικῶν,Μιθριδατικός,n-p---mg-,ATR
11,12,οὕτως,οὕτως,d--------,ADV
12,13,ἐπιγέγραπται,ἐπιγράφω,v3srie---,PRED_CO
13,14,",",punc1,u--------,AuxX
14,15,καὶ,καί,c--------,COORD
15,16,εἰκότως,εἰκότως,d--------,ADV
16,17,·,punc1,u--------,AuxK
17,18,ἐπιγέγραπται,ἐπιγράφω,v3srie---,PRED_CO
18,19,τρόπαια,τρόπαιον,n-p---na-,SBJ_CO
