,@id,@form,@lemma,@postag,@relation
0,1,ἀλλὰ,ἀλλά,d--------,AuxY
1,2,τοῖς,ὁ,l-p---md-,ATR
2,3,μὲν,μέν,d--------,AuxY
3,4,γράφουσιν,γράφω,v-pppamd-,OBJ
4,5,",",punc1,u--------,AuxX
5,6,ὡς,ὡς,c--------,AuxC
6,7,Ἀλέξανδρος,Ἀλέξανδρος,n-s---mn-,SBJ
7,8,ἔφη,φημί,v3siia---,OBJ
8,9,ποτὲ,ποτέ,d--------,ADV
9,10,τὴν,ὁ,l-s---fa-,ATR
10,11,Ἰλιάδα,Ἰλιάς,n-s---fa-,SBJ_CO
11,12,καὶ,καί,c--------,COORD
12,13,τὴν,ὁ,l-s---fa-,ATR
13,14,Ὀδύσσειαν,Ὀδύσσεια,n-s---fa-,SBJ_CO
14,15,ἀκολουθεῖν,ἀκολουθέω,v--pna---,OBJ
15,16,αὐτῷ,αὐτός,p-s---md-,OBJ
16,17,τῆς,ὁ,l-s---fg-,ATR
17,18,στρατείας,στρατεία,n-s---fg-,ATR
18,19,ἐφόδιον,ἐφόδιον,n-s---na-,ATV
19,20,",",punc1,u--------,AuxX
20,21,πιστεύομεν,πιστεύω,v1ppia---,PRED
21,22,",",punc1,u--------,AuxX
22,23,Ὅμηρον,ὅμηρος,n-s---ma-,OBJ
23,24,σεμνύνοντες,σεμνύνω,v-pppamn-,ADV
24,25,:,punc1,u--------,AuxK
