,@id,@form,@lemma,@postag,@relation
0,1,εἶτα,εἶτα,d--------,AuxY
1,2,πεισθεὶς,πείθω,v-sappmn-,ADV_CO
2,3,καὶ,καί,c--------,COORD
3,4,λαβὼν,λαμβάνω,v-sapamn-,ADV_CO
4,5,ὅρκους,ὅρκος,n-p---ma-,OBJ
5,6,ἀνέστη,ἀνίστημι,v3saia---,PRED_CO
6,7,καὶ,καί,c--------,COORD
7,8,μετεῖχε,μετέχω,v3siia---,PRED_CO
8,9,τῶν,ὁ,l-p---ng-,ATR
9,10,πραττομένων,πράσσω,v-pppeng-,OBJ
10,11,",",punc1,u--------,AuxX
11,12,φύσει,φύσις,n-s---fd-,ADV
12,13,πρᾷος,πρᾶος,a-s---mn-,PNOM
13,14,ὢν,εἰμί,v-sppamn-,ADV
14,15,:,punc1,u--------,AuxK
