,@id,@form,@lemma,@postag,@relation
0,1,ὅτι,ὅτι1,d--------,AuxY
1,2,ἀπὸ,ἀπό,r--------,AuxP
2,3,τῆς,ὁ,l-s---fg-,ATR
3,4,Ξέρξου,Ξέρξης,n-s---mg-,ATR
4,5,διαβάσεως,διάβασις,n-s---fg-,ADV_CO
5,6,εἰς,εἰς,r--------,AuxP
6,7,τὴν,ὁ,l-s---fa-,ATR
7,8,Ἑλλάδα,Ἑλλάς,n-s---fa-,ATR
8,9,...,punc1,u--------,AuxK
9,10,καὶ,καί,c--------,COORD
10,11,τριάκοντα,τριάκοντα,m--------,ATR
11,12,ἔτεσιν,ἔτος,n-p---nd-,ADV
12,13,ὕστερον,ὕστερος,a-s---na-,ADV_CO
13,14,ἀπὸ,ἀπό,r--------,AuxP
14,15,τούτων,οὗτος,a-p---mg-,ATR
15,16,τῶν,ὁ,l-p---mg-,ATR
16,17,καιρῶν,καιρός,n-p---mg-,ADV
17,18,ἀεὶ,ἀεί,d--------,ADV
18,19,τῶν,ὁ,l-p---mg-,ATR
19,20,κατὰ,κατά,r--------,AuxP
20,21,μέρος,μέρος,n-s---na-,ADV
21,22,προδιευκρινουμένων,προδιευκρινέω,v-pppemg-,ATR
22,23,ἦν,εἰμί,v3siia---,PRED
23,24,καὶ,καί,d--------,AuxY
24,25,κάλλιστον,καλός,a-s---nns,PNOM_CO
25,26,καὶ,καί,c--------,COORD
26,27,τέλειον,τέλειος,a-s---nn-,PNOM_CO
27,28,ἐν,ἐν,r--------,AuxP
28,29,τοῖς,ὁ,l-p---md-,ATR
29,30,Ἀννιβιακοῖς,Ἀννιβιακός,a-p---md-,ATR
30,31,καιροῖς,καιρός,n-p---md-,ADV
31,32,",",punc1,u--------,AuxX
32,33,ἀφʼ,ἀπό,r--------,AuxP
33,34,ὧν,ὅς,p-p---mg-,ADV
34,35,ἡμεῖς,ἐγώ,p1p---mn-,SBJ
35,36,εἰς,εἰς,r--------,AuxP
36,37,ταῦτα,οὗτος,p-p---na-,ADV
37,38,τὴν,ὁ,l-s---fa-,ATR
38,39,ἐκτροπὴν,ἐκτροπή,n-s---fa-,OBJ
39,40,ἐποιησάμεθα,ποιέω,v1paim---,ATR
40,41,.,punc1,u--------,AuxK
