,@id,@form,@lemma,@postag,@relation
0,1,διόπερ,διόπερ,d--------,AuxY
1,2,εὐθέως,εὐθής,d--------,ADV
2,3,τὰ,ὁ,l-p---na-,ATR
3,4,μὲν,μέν,d--------,AuxY
4,5,πληρώματα,πλήρωμα,n-p---na-,OBJ
5,6,συνῆγε,συνάγω,v3siia---,PRED_CO
6,7,πρὸς,πρός,r--------,AuxP
7,8,τὸν,ὁ,l-s---ma-,ATR
8,9,αἰγιαλόν,αἰγιαλός,n-s---ma-,ADV
9,10,",",punc1,u--------,AuxX
10,11,τοὺς,ὁ,l-p---ma-,ATR
11,12,δ᾽,δέ,c--------,COORD
12,13,ἐκ,ἐκ,r--------,AuxP
13,14,τῆς,ὁ,l-s---fg-,ATR
14,15,πόλεως,πόλις,n-s---fg-,ATR
15,16,μισθοφόρους,μισθοφόρος,n-p---ma-,OBJ
16,17,ἥθροιζε,ἀθροίζω,v3siia---,PRED_CO
17,18,μετὰ,μετά,r--------,AuxP
18,19,κηρύγματος,κήρυγμα,n-s---ng-,ADV
19,20,.,punc1,u--------,AuxK
