,@id,@form,@lemma,@postag,@relation
0,1,ὁπόσαι,ὁπόσος,a-p---fn-,ATR
1,2,δ᾽,δέ,d--------,AuxY
2,3,εἰσὶν,εἰμί,v3ppia---,ATR
3,4,ἀρχαὶ,ἀρχή,n-p---fn-,SBJ
4,5,μισθοφορίας,μισθοφορία,n-s---fg-,PNOM_CO
5,6,ἕνεκα,ἕνεκα,r--------,AuxP
6,7,καὶ,καί,c--------,COORD
7,8,ὠφελείας,ὠφέλεια,n-s---fg-,PNOM_CO
8,9,εἰς,εἰς,r--------,AuxP
9,10,τὸν,ὁ,l-s---ma-,ATR
10,11,οἶκον,οἶκος,n-s---ma-,ATR
11,12,",",punc1,u--------,AuxX
12,13,ταύτας,οὗτος,p-p---fa-,OBJ
13,14,ζητεῖ,ζητέω,v3spia---,PRED
14,15,ὁ,ὁ,l-s---mn-,ATR
15,16,δῆμος,δῆμος,n-s---mn-,SBJ
16,17,ἄρχειν,ἄρχω,v--pna---,OBJ
17,18,.,punc1,u--------,AuxK
