,@id,@form,@lemma,@postag,@relation
0,1,οἱ,ὁ,l-p---mn-,ATR
1,2,γοῦν,γοῦν,d--------,AuxY
2,3,πατέρες,πατήρ,n-p---mn-,SBJ
3,4,ἡμῶν,ἐγώ,p1p---mg-,ATR
4,5,ὑποστάντες,ὑφίστημι,v-papamn-,ADV_CO
5,6,Μήδους,Μῆδος,n-p---ma-,OBJ
6,7,καὶ,καί,c--------,COORD
7,8,οὐκ,οὐ,d--------,AuxZ
8,9,ἀπὸ,ἀπό,r--------,AuxP
9,10,τοσῶνδε,τοσόσδε,p-p---fg-,ADV
10,11,ὁρμώμενοι,ὁρμάω,v-pppemn-,ADV_CO
11,12,",",punc1,u--------,AuxX
12,13,ἀλλὰ,ἀλλά,c--------,COORD
13,14,καὶ,καί,d--------,AuxZ
14,15,τὰ,ὁ,l-p---na-,ATR
15,16,ὑπάρχοντα,ὑπάρχω,v-pppana-,OBJ
16,17,ἐκλιπόντες,ἐκλείπω,v-papamn-,ADV_CO
17,18,",",punc1,u--------,AuxX
18,19,γνώμῃ,γνώμη,n-s---fd-,ADV_CO
19,20,τε,τε,d--------,AuxY
20,21,πλέονι,πλείων,a-s---fdc,ATR
21,22,ἢ,ἤ1,c--------,AuxC
22,23,τύχῃ,τύχη,n-s---fd-,ADV
23,24,καὶ,καί,c--------,COORD
24,25,τόλμῃ,τόλμα,n-s---fd-,ADV_CO
25,26,μείζονι,μέγας,a-s---fdc,ATR
26,27,ἢ,ἤ1,c--------,AuxC
27,28,δυνάμει,δύναμις,n-s---fd-,ADV
28,29,τόν,ὁ,l-s---ma-,ATR
29,30,τε,τε,d--------,AuxY
30,31,βάρβαρον,βάρβαρος,n-s---ma-,OBJ
31,32,ἀπεώσαντο,ἀπωθέω,v3paim---,PRED_CO
32,33,καὶ,καί,c--------,COORD
33,34,ἐς,εἰς,r--------,AuxP
34,35,τάδε,ὅδε,p-p---nn-,OBJ
35,36,προήγαγον,προάγω,v3paia---,PRED_CO
36,37,αὐτά,αὐτός,a-p---na-,ATR
37,38,.,punc1,u--------,AuxK
38,39,ἀπεώσαντο,ἀπωθέω,v3paim---,ADV
39,40,ἀπεώσαντο,ἀπωθέω,v3paim---,ADV
