,@id,@form,@lemma,@postag,@relation
0,1,ἐπεὶ,ἐπεί,c--------,AuxC
1,2,δʼ,δέ,d--------,AuxY
2,3,ἐγώ,ἐγώ,p1s---mn-,SBJ
3,4,σοι,σοι,p2s---md-,OBJ
4,5,λέγων,λέγω3,v-sppamn-,ADV
5,6,τ-,ὁ,l-p---na-,ATR
6,7,ἀληθῆ,ἀληθής,a-p---na-,OBJ
7,8,εἶπον,εἶπον,v1saia---,ADV
8,9,ὅτι,ὅτι2,c--------,AuxC
9,10,οὐδʼ,οὐδέ,d--------,AuxZ
10,11,ὁτιοῦν,ὁτιοῦν,d--------,ADV
11,12,περὶ,περί,r--------,AuxP
12,13,τούτου,οὗτος,p-s---ng-,ADV
13,14,ἐπεμνήσθη,ἐπιμιμνήσκομαι,v3saip---,OBJ
14,15,",",punc1,u--------,AuxX
15,16,ἐπήρου,ἐπέρομαι,v2saim---,PRED
16,17,με,ἐγώ,p1s---ma-,OBJ
17,18,πάλιν,πάλιν,d--------,ADV
18,19,εἴ,εἰ,c--------,AuxC
19,20,τί,τις,p-s---na-,OBJ
20,21,μοι,ἐγώ,p1s---md-,OBJ
21,22,ὑγιείας,ὑγίεια,n-s---fg-,ADV_CO
22,23,πέρι,περί,r--------,AuxP
23,24,ἢ,ἤ1,c--------,COORD
24,25,ῥώμης,ῥώμη,n-s---fg-,ADV_CO
25,26,ἔλεξεν,λέγω3,v3saia---,OBJ
26,27,",",punc1,u--------,AuxX
27,28,ὡς,ὡς,d--------,AuxZ
28,29,δεῆσον,δέω2,v-sfpamv-,ADV
29,30,τούτων,οὗτος,p-p---ng-,OBJ
30,31,ὥσπερ,ὥσπερ,c--------,AuxC
31,32,καὶ,καί,d--------,AuxZ
32,33,τῆς,ὁ,l-s---fg-,ATR
33,34,στρατηγίας,στρατηγία,n-s---fg-,OBJ
34,35,τὸν,ὁ,l-s---ma-,ATR
35,36,στρατηγὸν,στρατηγός,n-s---ma-,SBJ
36,37,ἐπιμελεῖσθαι,ἐπιμελέομαι,v--pne---,ADV
37,38,.,punc1,u--------,AuxK
