,@id,@form,@lemma,@postag,@relation
0,1,ἐνενοήσατε,ἐννοέω,v2paia---,PRED
1,2,γάρ,γάρ,d--------,AuxY
2,3,",",",",u--------,AuxX
3,4,ἔφη,φημί,v3siia---,AuxY
4,5,",",",",u--------,AuxX
5,6,καὶ,καί,d--------,AuxZ
6,7,χθὲς,χθές,d--------,ADV
7,8,δήπου,δήπου,d--------,AuxZ
8,9,ὅτι,ὅτι,c--------,AuxC
9,10,ἕωθεν,ἕωθεν,d--------,ADV
10,11,ἀρξάμενοι,ἄρχω,v-papmmn-,ADV
11,12,ἀκούειν,ἀκούω,v--pna---,OBJ
12,13,τῶν,ὁ,l-p---mg-,ATR
13,14,προσιόντων,προσέρχομαι,v-pppamg-,OBJ
14,15,οὐκ,οὐ,d--------,AuxZ
15,16,ἐλήξαμεν,λήγω,v1paia---,OBJ
16,17,πρόσθεν,πρόσθεν,d--------,AuxP
17,18,ἑσπέρας,ἑσπέρα,n-s---fg-,ADV
18,19,·,·,u--------,AuxK
