,@id,@form,@lemma,@postag,@relation
0,1,ἀλλʼ,ἀλλά,d--------,ATR
1,2,ὃς,ὅς,p-s---mn-,SBJ
2,3,ἂν,ἄν1,d--------,ATR
3,4,κτᾶσθαί,κτάομαι,v--pne---,OBJ_CO
4,5,τε,τε,d--------,ATR
5,6,πλεῖστα,πλεῖστος,a-p---na-,OBJ
6,7,δύνηται,δύναμαι,v3spse---,ATR
7,8,σὺν,σύν,r--------,AuxP
8,9,τῷ,ὁ,l-s---nd-,ATR
9,10,δικαίῳ,δίκαιος,a-s---nd-,ADV
10,11,καὶ,καί,c--------,COORD
11,12,χρῆσθαι,χράομαι,v--pne---,OBJ_CO
12,13,πλείστοις,πλεῖστος,a-p---nd-,OBJ
13,14,σὺν,σύν,r--------,AuxP
14,15,τῷ,ὁ,l-s---nd-,ATR
15,16,καλῷ,καλός,a-s---nd-,ADV
16,17,",",punc1,u--------,AuxX
17,18,τοῦτον,οὗτος,p-s---ma-,OBJ
18,19,ἐγὼ,ἐγώ,p1s---mn-,OBJ
19,20,εὐδαιμονέστατον,εὐδαίμων,a-s---mas,OCOMP
20,21,νομίζω,νομίζω,v1spia---,PRED
21,22,καὶ,καί,d--------,AuxZ
22,23,τὰ,ὁ,l-p---na-,ATR
23,24,χρήματα,χρῆμα,n-p---na-,ADV
24,25,.,punc1,u--------,AuxK
