,@id,@form,@lemma,@postag,@relation
0,1,ἀλλʼ,ἀλλά,d--------,AuxZ
1,2,ὅταν,ὅταν,c--------,AuxC
2,3,ἄκρατος,ἄκρατος,a-s---mn-,ATR_CO
3,4,καὶ,καί,c--------,COORD
4,5,καθαρὸς,καθαρός,a-s---mn-,ATR_CO
5,6,ὁ,ὁ,l-s---mn-,ATR
6,7,νοῦς,νόος,n-s---mn-,SBJ
7,8,ἐκκριθῇ,ἐκκρίνω,v3sasp---,ADV
8,9,",",punc1,u--------,AuxX
9,10,τότε,τότε,d--------,ADV
10,11,καὶ,καί,d--------,AuxZ
11,12,φρονιμώτατον,φρόνιμος,a-s---mas,PNOM
12,13,αὐτὸν,αὐτός,p-s---ma-,SBJ
13,14,εἰκὸς,ἔοικα,v-srpann-,PNOM
14,15,εἶναι,εἰμί,v--pna---,SBJ
15,16,.,punc1,u--------,AuxK
16,17,ἐστιν,εἰμί,v3spia---,PRED
