,@id,@form,@lemma,@postag,@relation
0,1,τῷ,ὁ,l-s---nd-,ATR
1,2,δʼ,δέ,d--------,AuxY
2,3,ἐπιόντι,ἔπειμι1,v-sppand-,ATR
3,4,ἔτει,ἔτος,n-s---nd-,ADV
4,5,",",punc1,u--------,AuxX
5,6,ᾧ,ὅς,p-s---nd-,ADV
6,7,ἥ,ὁ,l-s---fn-,ATR
7,8,τε,τε,d--------,AuxY
8,9,σελήνη,σελήνη,n-s---fn-,SBJ
9,10,ἐξέλιπεν,ἐκλείπω,v3saia---,ATR_CO
10,11,ἑσπέρας,ἑσπέρα,n-p---fa-,ADV
11,12,καὶ,καί,c--------,COORD
12,13,ὁ,ὁ,l-s---mn-,ATR
13,14,παλαιὸς,παλαιός,a-s---mn-,ATR
14,15,τῆς,ὁ,l-s---fg-,ATR
15,16,Ἀθηνᾶς,Ἀθήνη,n-s---fg-,ATR
16,17,νεὼς,ναός,n-s---mn-,SBJ
17,18,ἐν,ἐν,r--------,AuxP
18,19,Ἀθήναις,Ἀθῆναι,n-p---fd-,ATR
19,20,ἐνεπρήσθη,ἐμπίμπρημι,v3saip---,ATR_CO
20,21,",",punc1,u--------,AuxX
21,22,Πιτύα,Πιτύας,n-s---mg-,SBJ
22,23,μὲν,μέν,d--------,AuxY
23,24,ἐφορεύοντος,ἐφορεύω,v-sppamg-,ADV_CO
24,25,",",punc1,u--------,AuxX
25,26,ἄρχοντος,ἄρχω,v-sppamg-,ADV_CO
26,27,δὲ,δέ,c--------,COORD
27,28,Καλλίου,Καλλίας,n-s---mg-,SBJ
28,29,Ἀθήνησιν,Ἀθήνησιν,d--------,ADV
29,30,",",punc1,u--------,AuxX
30,31,οἱ,ὁ,l-p---mn-,ATR
31,32,Λακεδαιμόνιοι,Λακεδαιμόνιος,n-p---mn-,SBJ
32,33,τῷ,ὁ,l-s---md-,ATR
33,34,Λυσάνδρῳ,Λύσανδρος,n-s---md-,ADV
34,35,παρεληλυθότος,παρέρχομαι,v-srpamg-,ADV_CO
35,36,ἤδη,ἤδη,d--------,ADV
36,37,τοῦ,ὁ,l-s---mg-,ATR
37,38,χρόνου,χρόνος,n-s---mg-,SBJ
38,39,καὶ,καί,c--------,COORD
39,40,τῷ,ὁ,l-s---md-,ATR
40,41,πολέμῳ,πόλεμος,n-s---md-,ADV
41,42,τεττάρων,τέσσαρες,a-p---ng-,PNOM_CO
42,43,καὶ,καί,c--------,COORD
43,44,εἴκοσιν,εἴκοσι,m--------,PNOM_CO
44,45,ἐτῶν,ἔτος,n-p---ng-,SBJ
45,46,ἔπεμψαν,πέμπω,v3paia---,PRED
46,47,ἐπὶ,ἐπί,r--------,AuxP
47,48,τὰς,ὁ,l-p---fa-,ATR
48,49,ναῦς,ναῦς,n-p---fa-,ADV
49,50,Καλλικρατίδαν,Καλλικρατίδας,n-s---ma-,OBJ
50,51,.,punc1,u--------,AuxK
