,@id,@form,@lemma,@postag,@relation
0,1,ἀνεμιμνῄσκοντο,ἀναμιμνήσκω,v3piie---,PRED
1,2,δὲ,δέ,d--------,AuxY
2,3,καὶ,καί,d--------,AuxZ
3,4,ὡς,ὡς,c--------,AuxC
4,5,θύειν,θύω1,v--pna---,OBJ
5,6,τʼ,τε,d--------,AuxY
6,7,ἐν,ἐν,r--------,AuxP
7,8,Αὐλίδι,Αὐλίς,n-s---fd-,ADV
8,9,τὸν,ὁ,l-s---ma-,ATR
9,10,Ἀγησίλαον,Ἀγησίλαος,n-s---ma-,OBJ
10,11,οὐκ,οὐ,d--------,AuxZ
11,12,εἴων,ἐάω,v3piia---,OBJ_CO
12,13,καὶ,καί,d--------,AuxY
13,14,τὰ,ὁ,l-p---na-,ATR
14,15,τεθυμένα,θύω1,v-prpena-,ATR
15,16,ἱερὰ,ἱερόν,n-p---na-,OBJ
16,17,ὡς,ὡς,c--------,AuxC
17,18,ἔρριψαν,ῥίπτω,v3paia---,OBJ_CO
18,19,ἀπὸ,ἀπό,r--------,AuxP
19,20,τοῦ,ὁ,l-s---mg-,ATR
20,21,βωμοῦ,βωμός,n-s---mg-,OBJ
21,22,καὶ,καί,c--------,COORD
22,23,ὅτι,ὅτι2,c--------,AuxC
23,24,οὐ,οὐ,d--------,AuxZ
24,25,-δʼ,δέ,d--------,AuxZ
25,26,εἰς,εἰς,r--------,AuxP
26,27,τὴν,ὁ,l-s---fa-,ATR
27,28,Ἀσίαν,Ἀσία,n-s---fa-,ADV
28,29,Ἀγησιλάῳ,Ἀγησίλαος,n-s---md-,OBJ
29,30,συνεστράτευον,συστρατεύω,v3piia---,OBJ_CO
30,31,.,punc1,u--------,AuxK
