@id;@form;@lemma;@postag;@relation
1;ὅτι;ὅτι;c--------;AuxC
2;δ᾽;δέ;d--------;AuxY
3;οὐ;οὐ;d--------;AuxZ
4;παρέδωκε;παραδίδωμι;v3saia---;ADV_CO
5;δικαστηρίῳ;δικαστήριον;n-s---nd-;OBJ
6;οὐ;οὐ;d--------;AuxZ
7;-δ᾽;δέ;c--------;COORD
8;ἐξήλασεν;ἐξελαύνω;v3saia---;ADV_CO
9;ἐκ;ἐκ;r--------;AuxP
10;τοῦ;ὁ;l-s---ng-;ATR
11;βουλευτηρίου;βουλευτήριον;n-s---ng-;OBJ
12;,;punc;u--------;AuxX
13;ἄχθομαι;ἄχθομαι;v1spie---;PRED_CO
14;μὲν;μέν;d--------;AuxY
15;λέγων;λέγω;v-sppamn-;AtvV
16;,;punc;u--------;AuxX
17;ἀνάγκη;ἀνάγκη;n-s---fn-;PNOM
18;δ᾽;δέ;c--------;COORD
19;ἐστὶν;εἰμί;v3spia---;PRED_CO
20;εἰπεῖν;λέγω;v--ana---;SBJ
21;,;punc;u--------;AuxX
22;ὅτι;ὅτι;c--------;AuxC
23;τῆς;ὁ;l-s---fg-;ATR
24;δωρεᾶς;δωρεά;n-s---fg-;OBJ
25;ἀπέτυχε;ἀποτυγχάνω;v3saia---;OBJ
26;.;punc;u--------;AuxK
