@id;@form;@lemma;@postag;@relation
1;καὶ;καί;d--------;AuxY
2;εἰ;εἰ;c--------;AuxC
3;μὴ;μή;d--------;AuxZ
4;φοβηθείς;φοβέω;v-sappmn-;ADV
5;,;punc;u--------;AuxX
6;ὡς;ὡς;c--------;AuxC
7;ἀνεβόησεν;ἀναβοάω;v3saia---;ADV
8;,;punc;u--------;AuxX
9;ἐγκαταλιπὼν;ἐγκαταλείπω;v-sapamn-;ADV
10;τὴν;ὁ;l-s---fa-;ATR
11;μάχαιραν;μάχαιρα;n-s---fa-;OBJ
12;ἐν;ἐν;r--------;AuxP
13;τῇ;ὁ;l-s---fd-;ATR
14;σφαγῇ;σφαγή;n-s---fd-;ADV
15;ὤχετο;οἴχομαι;v3siip---;ADV_CO
16;φεύγων;φεύγω;v-sppamn-;ADV
17;,;punc;u--------;AuxX
18;ἀλλ᾽;ἀλλά;c--------;COORD
19;ἐτόλμησε;τολμάω;v3saia---;ADV_CO
20;μεῖναι;μένω;v--ana---;OBJ
21;,;punc;u--------;AuxX
22;ἀπώλοντ᾽;ἀπόλλυμι;v3paim---;PRED
23;ἂν;ἄν;d--------;AuxY
24;οἱ;ὁ;l-p---mn-;ATR
25;ἔνδον;ἔνδον;d--------;PNOM
26;ὄντες;εἰμί;v-pppamn-;SBJ
27;ἅπαντες;ἅπας;a-p---mn-;ATR
28;:;punc;u--------;AuxK
