@id;@form;@lemma;@postag;@relation
1;ἐβόα;βοάω;v3siia---;PRED_CO
2;τε;τε;d--------;AuxY
3;μέγιστον;μέγας;a-s---nas;ADV
4;ἕπεσθαί;ἕπομαι;v--pne---;OBJ
5;οἱ;ἕ;p3s---md-;OBJ
6;τοὺς;ὁ;l-p---ma-;ATR
7;ἐθέλοντας;θέλω;v-pppama-;SBJ
8;σῴζεσθαι;σῴζω;v--pne---;OBJ
9;τὴν;ὁ;l-s---fa-;ATR
10;πατρίδα;πατρίς;n-s---fa-;OBJ
11;καὶ;καί;c--------;COORD
12;τὸ;ὁ;l-s---na-;ATR
13;κράσπεδον;κράσπεδον;n-s---na-;OBJ
14;τοῦ;ὁ;l-s---ng-;ATR
15;ἱματίου;ἱμάτιον;n-s---ng-;ATR
16;ἐς;εἰς;r--------;AuxP
17;τὴν;ὁ;l-s---fa-;ATR
18;κεφαλὴν;κεφαλή;n-s---fa-;ADV
19;περιεσύρατο;περισύρω;v3saim---;PRED_CO
20;,;punc;u--------;AuxX
21;εἴ;εἰ;c--------;AuxC
22;-τε;τε;d--------;AuxY
23;τῷ;ὁ;l-s---nd-;ATR
24;παρασήμῳ;παράσημον;n-s---nd-;ADV
25;τοῦ;ὁ;l-s---ng-;ATR
26;σχήματος;σχῆμα;n-s---ng-;ATR
27;πλέονάς;πολύς;a-p---mac;OBJ
28;οἱ;ἕ;p3s---md-;OBJ
29;συντρέχειν;συντρέχω;v--pna---;OBJ
30;ἐπισπώμενος;ἐπισπάω;v-sppemn-;PNOM
31;,;punc;u--------;AuxX
32;εἴ;εἰ;c--------;AuxC
33;-τε;τε;d--------;AuxY
34;πολέμου;πόλεμος;n-s---mg-;ATR
35;τι;τις;a-s---na-;ATR
36;σύμβολον;σύμβολον;n-s---na-;OBJ
37;τοῖς;ὁ;l-p---md-;ATR
38;ὁρῶσιν;ὁράω;v-pppamd-;OBJ
39;ὡς;ὡς;d--------;AuxZ
40;κόρυθα;κόρυς;n-s---fa-;OBJ
41;ποιούμενος;ποιέω;v-sppemn-;PNOM
42;,;punc;u--------;AuxX
43;εἴ;εἰ;c--------;AuxC
44;-τε;τε;c--------;COORD
45;θεοὺς;θεός;n-p---ma-;OBJ
46;ἐγκαλυπτόμενος;ἐγκαλύπτω;v-sppemn-;PNOM
47;ὧν;ὅς;p-p---ng-;OBJ
48;ἔμελλε;μέλλω;v3siia---;OBJ
49;δράσειν;δράω;v--fna---;OBJ
50;.;punc;u--------;AuxK
51;ποιούμενος;ποιέω;v-sppemn-;ADV
52;ἦν;εἰμί;v3siia---;ADV_CO
53;ἦν;εἰμί;v3siia---;ADV_CO
54;ἦν;εἰμί;v3siia---;ADV_CO
