@id;@form;@lemma;@postag;@relation
1;καὶ;καί;d--------;AuxY
2;τότε;τότε;d--------;ADV
3;μάλιστα;μάλα;d-------s;AuxY
4;πολλοὶ;πολύς;a-p---mn-;SBJ
5;Σερτωρίου;Σερτώριος;n-s---mg-;ATR
6;πρὸς;πρός;r--------;AuxP
7;τὸν;ὁ;l-s---ma-;ATR
8;Μέτελλον;Μέτελλος;n-s---ma-;OBJ
9;ηὐτομόλουν;αὐτομολέω;v3piia---;PRED
10;,;punc;u--------;AuxX
11;ἐφʼ;ἐπί;r--------;AuxP
12;ᾧ;ὅς;p-s---nd-;ADV
13;χαλεπαίνων;χαλεπαίνω;v-sppamn-;ADV
14;ὁ;ὁ;l-s---mn-;ATR
15;Σερτώριος;Σερτώριος;n-s---mn-;SBJ
16;ἀγρίως;ἄγριος;d--------;ADV_CO
17;καὶ;καί;c--------;COORD
18;βαρβαρικῶς;βαρβαρικός;d--------;ADV_CO
19;ἐλυμαίνετο;λυμαίνομαι;v3siie---;ATR_CO
20;πολλοῖς;πολύς;a-p---md-;OBJ
21;καὶ;καί;c--------;COORD
22;διὰ;διά;r--------;AuxP
23;μίσους;μῖσος;n-s---ng-;PNOM
24;ἐγίγνετο;γίγνομαι;v3siie---;ATR_CO
25;.;punc;u--------;AuxK
