@id;@form;@lemma;@postag;@relation
1;πρὸς;πρός;r--------;AuxP
2;γὰρ;γάρ;d--------;AuxY
3;τοῖς;ὁ;l-p---nd-;ATR
4;ἄλλοις;ἄλλος;p-p---nd-;ADV
5;ὡς;ὡς;d--------;AuxZ
6;ἑτέρου;ἕτερος;a-s---mg-;SBJ
7;φροντίζοντος;φροντίζω;v-sppamg-;ADV
8;ὀλιγωροῦσι;ὀλιγωρέω;v3ppia---;PRED
9;μᾶλλον;μάλα;d-------c;ADV
10;,;punc;u--------;AuxX
11;ὥσπερ;ὥσπερ;c--------;AuxC
12;ἐν;ἐν;r--------;AuxP
13;ταῖς;ὁ;l-p---fd-;ATR
14;οἰκετικαῖς;οἰκετικός;a-p---fd-;ATR
15;διακονίαις;διακονία;n-p---fd-;ADV
16;οἱ;ὁ;l-p---mn-;ATR
17;πολλοὶ;πολύς;a-p---mn-;ATR
18;θεράποντες;θεράπων;n-p---mn-;SBJ
19;ἐνίοτε;ἐνίοτε;d--------;ADV
20;χεῖρον;κακός;a-s---nac;ADV
21;ὑπηρετοῦσι;ὑπηρετέω;v3ppia---;ADV
22;τῶν;ὁ;l-p---mg-;ATR
23;ἐλαττόνων;ἐλάσσων;a-p---mgc;ADV
24;.;punc;u--------;AuxK
