@id;@form;@lemma;@postag;@relation
1;τοὺς;ὁ;l-p---ma-;ATR
2;δὲ;δέ;d--------;AuxY
3;θεούς;θεός;n-p---ma-;SBJ
4;φησιν;φημί;v3spia---;PRED
5;εἶναι;εἰμί;v--pna---;OBJ
6;ῥεῖα;ῥεῖα;d--------;ADV
7;ζώοντας;ζάω;v-pppama-;PNOM
8;(;punc;u--------;AuxG
9;τὸ;ὁ;l-s---nn-;ATR
10;δὲ;δέ;d--------;AuxY
11;ῥεῖα;ῥεῖα;d--------;SBJ
12;ἐστὶν;εἰμί;v3spia---;PRED
13;ἀπόνως;ἄπονος;d--------;PNOM
14;);punc;u--------;AuxG
15;,;punc;u--------;AuxX
16;ὥσπερ;ὥσπερ;d--------;AuxZ
17;ἐνδεικνύμενος;ἐνδείκνυμι;v-sppemn-;ADV
18;ὅτι;ὅτι;c--------;AuxC
19;μέγιστόν;μέγας;a-s---nns;PNOM
20;ἐστι;εἰμί;v3spia---;OBJ
21;τῶν;ὁ;l-p---ng-;ATR
22;κακῶν;κακός;a-p---ng-;ATR
23;ἡ;ὁ;l-s---fn-;ATR
24;περὶ;περί;r--------;AuxP
25;τὸ;ὁ;l-s---na-;ATR
26;ζῆν;ζάω;v--pna---;ATR
27;ταλαιπωρία;ταλαιπωρία;n-s---fn-;SBJ_CO
28;καὶ;καί;c--------;COORD
29;ὁ;ὁ;l-s---mn-;ATR
30;πόνος;πόνος;n-s---mn-;SBJ_CO
31;.;punc;u--------;AuxK
