@id;@form;@lemma;@postag;@relation
1;χρυσέας;χρύσεος;a-p---fa-;OCOMP_CO
2;γὰρ;γάρ;d--------;AuxY
3;εἰ;εἰ;c--------;AuxC
4;ἐποίησεν;ποιέω;v3saia---;ADV
5;ὁ;ὁ;l-s---mn-;ATR
6;ζωγράφος;ζωγράφος;n-s---mn-;SBJ
7;τὰς;ὁ;l-p---fa-;ATR
8;τοῦ;ὁ;l-s---mg-;ATR
9;θεοῦ;θεός;n-s---mg-;ATR
10;κόμας;κόμη;n-p---fa-;OBJ
11;καὶ;καί;c--------;COORD
12;μὴ;μή;d--------;AuxZ
13;μελαίνας;μέλας;a-p---fa-;OCOMP_CO
14;,;punc;u--------;AuxX
15;χεῖρον;κακός;a-s---nnc;PNOM
16;ἂν;ἄν;d--------;AuxY
17;ἦν;εἰμί;v3siia---;PRED
18;τὸ;ὁ;l-s---nn-;ATR
19;ζωγράφημα;ζωγράφημα;n-s---nn-;SBJ
20;.;punc;u--------;AuxK
