@id;@form;@lemma;@postag;@relation
1;ἐὰν;ἐάν;c--------;AuxC
2;μὲν;μέν;d--------;AuxY
3;γὰρ;γάρ;d--------;AuxY
4;ἀντέχῃ;ἀντέχω;v3spsa---;ADV
5;τὰ;ὁ;l-p---nn-;SBJ
6;τῶν;ὁ;l-p---mg-;ATR
7;Ὀλυνθίων;Ὀλύνθιος;n-p---mg-;ATR
8;,;punc;u--------;AuxX
9;ὑμεῖς;σύ;p2p---mn-;SBJ
10;ἐκεῖ;ἐκεῖ;d--------;ADV
11;πολεμήσετε;πολεμέω;v2pfia---;PRED_CO
12;καὶ;καί;c--------;COORD
13;τὴν;ὁ;l-s---fa-;OBJ
14;ἐκείνου;εκεῖνος;p-s---mg-;ATR
15;κακῶς;κακός;d--------;ADV
16;ποιήσετε;ποιέω;v2pfia---;PRED_CO
17;,;punc;u--------;AuxX
18;τὴν;ὁ;l-s---fa-;ATR
19;ὑπάρχουσαν;ὑπάρχω;v-sppafa-;ATR_CO
20;καὶ;καί;c--------;COORD
21;τὴν;ὁ;l-s---fa-;ATR
22;οἰκείαν;οἰκεῖος;a-s---fa-;ATR_CO
23;ταύτην;οὗτος;p-s---fa-;OBJ
24;ἀδεῶς;ἀδεής;d--------;ADV
25;καρπούμενοι;καρπόω;v-pppemn-;ADV
26;·;punc;u--------;AuxK
