@id;@form;@lemma;@postag;@relation
1;καὶ;καί;d--------;AuxY
2;γάρ;γάρ;d--------;AuxY
3;τοι;τοι;d--------;AuxY
4;ταύτῃ;οὗτος;a-s---fd-;ATR
5;χρησάμενος;χράω;v-sapmmn-;ADV
6;τῇ;ὁ;l-s---fd-;ATR
7;γνώμῃ;γνώμη;n-s---fd-;OBJ
8;πάντα;πᾶς;a-p---na-;OBJ
9;κατέστραπται;καταστρέφω;v3srie---;PRED_CO
10;καὶ;καί;c--------;COORD
11;ἔχει;ἔχω;v3spia---;PRED_CO
12;,;punc;u--------;AuxX
13;τὰ;ὁ;l-p---na-;OBJ
14;μὲν;μέν;d--------;AuxY
15;ὡς;ὡς;d--------;AuxZ
16;ἂν;ἄν;d--------;AuxY
17;ἑλών;αἱρέω;v-sapamn-;ADV_CO
18;τις;τις;p-s---cn-;SBJ
19;ἔχοι;ἔχω;v3spoa---;PRED
20;πολέμῳ;πόλεμος;n-s---md-;ADV
21;,;punc;u--------;AuxX
22;τὰ;ὁ;l-p---na-;OBJ
23;δὲ;δέ;c--------;COORD
24;σύμμαχα;σύμμαχος;a-p---na-;OCOMP_CO
25;καὶ;καί;c--------;COORD
26;φίλα;φίλη;n-p---na-;OCOMP_CO
27;ποιησάμενος;ποιέω;v-sapmmn-;ADV_CO
28;·;punc;u--------;AuxK
