@id;@form;@lemma;@postag;@relation
1;ἀφικομένου;ἀφικνέομαι;v-sapmmg-;ADV
2;γὰρ;γάρ;d--------;AuxY
3;Ἀλκέτου;Ἀλκέτης;n-s---mg-;SBJ_CO
4;καὶ;καί;c--------;COORD
5;Ἰάσονος;Ἰάσων;n-s---mg-;SBJ_CO
6;ὡς;ὡς;r--------;AuxP
7;τοῦτον;οὗτος;p-s---ma-;OBJ
8;ἐν;ἐν;r--------;AuxP
9;τῷ;ὁ;l-s---md-;ATR
10;μαιμακτηριῶνι;μαιμακτηριών;n-s---md-;ATR
11;μηνὶ;μείς;n-s---md-;ADV
12;τῷ;ὁ;l-s---md-;ATR
13;ἐπ’;ἐπί;r--------;AuxP
14;Ἀστείου;Ἀστεῖος;n-s---mg-;ADV
15;ἄρχοντος;ἄρχων;n-s---mg-;ATV
16;ἐπὶ;ἐπί;r--------;AuxP
17;τὸν;ὁ;l-s---ma-;ATR
18;ἀγῶνα;ἀγών;n-s---ma-;ADV
19;τὸν;ὁ;l-s---ma-;ATR
20;τούτου;οὗτος;p-s---mg-;ATR
21;,;punc;u--------;AuxX
22;βοηθησόντων;βοηθέω;v-pfpamg-;ADV_CO
23;αὐτῷ;αὐτός;p-s---md-;OBJ
24;,;punc;u--------;AuxX
25;καὶ;καί;c--------;COORD
26;καταγομένων;κατάγω;v-pppemg-;ADV_CO
27;εἰς;εἰς;r--------;AuxP
28;τὴν;ὁ;l-s---fa-;ATR
29;οἰκίαν;οἰκία;n-s---fa-;OBJ
30;τὴν;ὁ;l-s---fa-;ATR
31;ἐν;ἐν;r--------;AuxP
32;Πειραιεῖ;Πειραιεύς;n-s---md-;ATR
33;τὴν;ὁ;l-s---fa-;ATR
34;ἐν;ἐν;r--------;AuxP
35;τῇ;ὁ;l-s---fd-;ATR
36;Ἱπποδαμείᾳ;Ἱπποδάμεια;n-s---fd-;ATR
37;ἑσπέρας;ἑσπέρα;n-s---fg-;PNOM
38;ἤδη;ἤδη;d--------;ADV
39;οὔσης;εἰμί;v-sppafg-;ADV
40;,;punc;u--------;AuxX
41;ἀπορούμενος;ἀπορέω;v-sppemn-;ADV
42;ὑποδέξασθαι;ὑποδέχομαι;v--anm---;OBJ
43;αὐτούς;αὐτός;p-p---ma-;OBJ
44;,;punc;u--------;AuxX
45;πέμψας;πέμπω;v-sapamn-;ADV
46;ὡς;ὡς;r--------;AuxP
47;τὸν;ὁ;l-s---ma-;ATR
48;πατέρα;πατήρ;n-s---ma-;OBJ
49;τὸν;ὁ;l-s---ma-;ATR
50;ἐμὸν;ἐμός;a-s---ma-;ATR
51;Αἰσχρίωνα;Αἰσχρίων;n-s---ma-;OBJ
52;τὸν;ὁ;l-s---ma-;ATR
53;ἀκόλουθον;ἀκόλουθος;a-s---ma-;ATR
54;τὸν;ὁ;l-s---ma-;ATR
55;αὑτοῦ;ἑαυτοῦ;p-s---mg-;ATR
56;,;punc;u--------;AuxX
57;ἐκέλευσεν;κελεύω;v3saia---;PRED
58;αἰτήσασθαι;αἰτέω;v--anm---;OBJ_CO
59;στρώματα;στρῶμα;n-p---na-;OBJ_CO
60;καὶ;καί;d--------;AuxY
61;ἱμάτια;ἱμάτιον;n-p---na-;OBJ_CO
62;καὶ;καί;c--------;COORD
63;φιάλας;φιάλη;n-p---fa-;OBJ_CO
64;ἀργυρᾶς;ἀργύρεος;a-p---fa-;ATR
65;δύο;δύο;a--------;ATR
66;,;punc;u--------;AuxX
67;καὶ;καί;c--------;COORD
68;μνᾶν;μνᾶ;n-s---fa-;OBJ
69;ἀργυρίου;ἀργύριον;n-s---ng-;ATR
70;δανείσασθαι;δανείζω;v--anm---;OBJ_CO
71;.;punc;u--------;AuxK
