@id;@form;@lemma;@postag;@relation
1;ὁ;ὁ;l-s---mn-;ATR
2;δὲ;δέ;d--------;AuxY
3;Μυρωνίδης;Μυρωνίδης;n-s---mn-;SBJ
4;μετὰ;μετά;r--------;AuxP
5;τὴν;ὁ;l-s---fa-;ATR
6;γενομένην;γίγνομαι;v-sapmfa-;ATR
7;νίκην;νίκη;n-s---fa-;ADV
8;Τάναγραν;Τάναγρα;n-s---fa-;OBJ
9;μὲν;μέν;d--------;AuxY
10;ἐκπολιορκήσας;ἐκπολιορκέω;v-sapamn-;ADV
11;,;punc;u--------;AuxX
12;περιεῖλεν;περιαιρέω;v3saia---;PRED_CO
13;αὐτῆς;αὐτός;p-s---fg-;ATR
14;τὰ;ὁ;l-p---na-;ATR
15;τείχη;τεῖχος;n-p---na-;OBJ
16;,;punc;u--------;AuxX
17;τὴν;ὁ;l-s---fa-;ATR
18;δὲ;δέ;c--------;COORD
19;Βοιωτίαν;Βοιωτία;n-s---fa-;OBJ
20;ἅπασαν;ἅπας;a-s---fa-;ATR
21;ἐπιὼν;ἔπειμι;v-sppamn-;ADV
22;ἔτεμνε;τέμνω;v3siia---;PRED_CO
23;καὶ;καί;d--------;AuxY
24;κατέφθειρε;καταφθείρω;v3saia---;PRED_CO
25;καὶ;καί;c--------;COORD
26;τοῖς;ὁ;l-p---md-;ATR
27;στρατιώταις;στρατιώτης;n-p---md-;OBJ
28;διελὼν;διαιρέω;v-sapamn-;ADV
29;τὰ;ὁ;l-p---na-;ATR
30;λάφυρα;λάφυρα;n-p---na-;OBJ
31;πάντας;πᾶς;a-p---ma-;OBJ
32;ὠφελείαις;ὠφέλεια;n-p---fd-;OBJ
33;ἁδραῖς;ἁδρός;a-p---fd-;ATR
34;ἐκόσμησεν;κοσμέω;v3saia---;PRED_CO
35;.;punc;u--------;AuxK
