@id;@form;@lemma;@postag;@relation
1;ἀπὸ;ἀπό;r--------;AuxP
2;δὴ;δή;d--------;AuxZ
3;τοῦ;ὁ;l-s---ng-;ATR
4;συμβεβηκότος;συμβαίνω;v-srpang-;ADV
5;αὐτοῖς;αὐτός;p-p---md-;OBJ
6;ἀξιοῦσι;ἀξιόω;v3ppia---;PRED
7;τεθῆναι;τίθημι;v--anp---;OBJ
8;τ-;ὁ;l-s---na-;ATR
9;οὔνομα;ὄνομα;n-s---na-;SBJ
10;,;punc;u--------;AuxX
11;ὥσπερ;ὥσπερ;c--------;AuxC
12;καὶ;καί;d--------;AuxZ
13;τοῖς;ὁ;l-p---md-;ATR
14;ἐν;ἐν;r--------;AuxP
15;Ἀσίᾳ;Ἀσία;n-s---fd-;ATR
16;Μοσυνοίκοις;Μοσυνοίκος;n-p---md-;OBJ
17;:;punc;u--------;AuxK
