@id;@form;@lemma;@postag;@relation
1;ἐκ;ἐκ;r--------;AuxP
2;δὲ;δέ;d--------;AuxY
3;κέγχρου;κέγχρος;n-s---mg-;ATR_CO
4;καὶ;καί;c--------;COORD
5;σησάμου;σήσαμον;n-s---ng-;ATR_CO
6;ὅσον;ὅσος;a-s---nn-;PNOM
7;τι;τις;a-s---na-;ATR
8;δένδρον;δένδρον;n-s---nn-;SBJ
9;μέγαθος;μέγεθος;n-s---na-;ADV
10;γίνεται;γίγνομαι;v3spie---;ATR
11;,;punc;u--------;AuxX
12;ἐξεπιστάμενος;ἐξεπίσταμαι;v-sppemn-;ADV
13;μνήμην;μνήμη;n-s---fa-;OBJ
14;οὐ;οὐ;d--------;AuxZ
15;ποιήσομαι;ποιέω;v1sfim---;PRED
16;,;punc;u--------;AuxX
17;εὖ;εὖ;d--------;ADV
18;εἰδὼς;οἶδα;v-srpamn-;ADV
19;ὅτι;ὅτι;c--------;AuxC
20;τοῖσι;ὁ;l-p---md-;ATR
21;μὴ;μή;d--------;AuxZ
22;ἀπιγμένοισι;ἀφικνέομαι;v-prpemd-;OBJ
23;ἐς;εἰς;r--------;AuxP
24;τὴν;ὁ;l-s---fa-;ATR
25;Βαβυλωνίην;Βαβυλώνιος;a-s---fa-;ATR
26;χώρην;χώρα;n-s---fa-;OBJ
27;καὶ;καί;d--------;AuxZ
28;τὰ;ὁ;l-p---nn-;ATR
29;εἰρημένα;λέγω;v-prpenn-;SBJ
30;καρπῶν;καρπός;n-p---mg-;ATR
31;ἐχόμενα;ἔχω;v-pppenn-;ADV
32;ἐς;εἰς;r--------;AuxP
33;ἀπιστίην;ἀπιστία;n-s---fa-;ADV
34;πολλὴν;πολύς;a-s---fa-;ATR
35;ἀπῖκται;ἀφικνέομαι;v3srie---;ADV
36;.;punc;u--------;AuxK
