@id;@form;@lemma;@postag;@relation
1;Θαυμάσαι;θαυμάζω;v3saoa---;PRED
2;δ᾽;δέ;d--------;AuxY
3;ἄν;ἄν;d--------;AuxY
4;τις;τις;p-s---cn-;SBJ
5;ἐν;ἐν;r--------;AuxP
6;τούτῳ;οὗτος;p-s---nd-;ADV
7;καὶ;καί;d--------;AuxZ
8;Ἰούδαν;Ἰούδας;n-s---ma-;OBJ
9;,;punc;u--------;AuxX
10;Ἐσσαῖος;Ἐσσαῖος;a-s---mn-;PNOM
11;ἦν;εἰμί;v3siia---;PRED
12;γένος;γένος;n-s---na-;ADV
13;οὐκ;οὐ;d--------;AuxZ
14;ἔστιν;εἰμί;v3spia---;PRED
15;ὅτε;ὅτε;c--------;AuxC
16;πταίσας;πταίω;v-sapamn-;PNOM_CO
17;ἢ;ἤ;c--------;COORD
18;ψευσθεὶς;ψεύδω;v-sappmn-;PNOM_CO
19;ἐν;ἐν;r--------;AuxP
20;τοῖς;ὁ;l-p---nd-;ATR
21;προαπαγγέλμασιν;προαπάγγελμα;n-p---nd-;ADV
22;,;punc;u--------;AuxX
23;ὃς;ὅς;p-s---mn-;SBJ
24;ἐπειδὴ;ἐπειδή;c--------;AuxC
25;καὶ;καί;d--------;AuxZ
26;τότε;τότε;d--------;ADV
27;τὸν;ὁ;l-s---ma-;ATR
28;Ἀντίγονον;Ἀντίγονος;n-s---ma-;SBJ
29;ἐθεάσατο;θεάομαι;v3saie---;ADV
30;παριόντα;πάρειμι;v-sppama-;OBJ
31;διὰ;διά;r--------;AuxP
32;τοῦ;ὁ;l-s---ng-;ATR
33;ἱεροῦ;ἱερόν;n-s---ng-;ADV
34;,;punc;u--------;AuxX
35;πρὸς;πρός;r--------;AuxP
36;τοὺς;ὁ;l-p---ma-;ATR
37;γνωρίμους;γνώριμος;a-p---ma-;OBJ
38;ἀνέκραγεν;ἀνακράζω;v3saia---;ATR_CO
39;,;punc;u--------;AuxX
40;ἦσαν;εἰμί;v3piia---;PRED
41;δ᾽;δέ;c--------;COORD
42;οὐκ;οὐ;d--------;AuxZ
43;ὀλίγοι;ὀλίγος;a-p---mn-;SBJ
44;παρεδρεύοντες;παρεδρεύω;v-pppamn-;PNOM
45;αὐτῷ;αὐτός;p-s---md-;OBJ
46;τῶν;ὁ;l-p---mg-;ATR
47;μανθανόντων;μανθάνω;v-pppamg-;ATR
48;,;punc;u--------;AuxX
49;παπαί;παπαί;i--------;ExD
50;,;punc;u--------;AuxX
51;νῦν;νῦν;d--------;ADV
52;ἐμοὶ;ἐγώ;p1s---md-;ADV
53;καλόν;καλός;a-s---nn-;PNOM
54;,;punc;u--------;AuxX
55;ἔφη;φημί;v3siia---;ATR_CO
56;,;punc;u--------;AuxX
57;τὸ;ὁ;l-s---nn-;ATR
58;θανεῖν;θνῄσκω;v--ana---;SBJ
59;,;punc;u--------;AuxX
60;ὅτε;ὅτε;c--------;AuxC
61;μου;ἐγώ;p1s---mg-;OBJ
62;προτέθνηκεν;προθνῄσκω;v3sria---;ADV_CO
63;ἡ;ὁ;l-s---fn-;ATR
64;ἀλήθεια;ἀλήθεια;n-s---fn-;SBJ
65;καί;καί;c--------;COORD
66;τι;τις;p-s---nn-;SBJ
67;τῶν;ὁ;l-p---ng-;ATR
68;ὑπ᾽;ὑπό;r--------;AuxP
69;ἐμοῦ;ἐγώ;p1s---mg-;OBJ
70;προρρηθέντων;προλέγω;v-pappng-;ATR
71;διέψευσται;διαψεύδω;v3srie---;ADV_CO
72;:;punc;u--------;AuxK
73;ἐστιν;εἰμί;v3spia---;OBJ
